year,match_date,opponent,stage,minute,incident,direction,description,press_url,video_url,video_source
1930,1930-07-15,France,Group stage,84,"Referee blows final whistle six minutes early",favored_argentina,"Brazilian referee Gilberto de Almeida Rego blew for full time around the 84th minute with France's Marcel Langiller clean through on goal; after furious French protests the players were recalled and the remaining minutes were played out. Argentina won 1-0.",https://historycollection.com/the-referee-who-blew-the-whistle-6-minutes-early-and-the-chaotic-first-world-cup-nobody-talks-about/,,
1966,1966-07-23,England,Quarter-final,35,"Antonio Rattin sent off",against_argentina,"German referee Rudolf Kreitlein dismissed Argentina captain Rattin for 'violence of the tongue' despite speaking no Spanish; Rattin refused to leave for around 10 minutes and sat on the Queen's red carpet. Fed Argentine claims of European bias ('el robo del siglo') and directly led to the invention of yellow and red cards.",https://gulfnews.com/sport/football/world-cup/how-england-vs-argentinas-fiercest-rivalry-began-with-argentinas-robbery-claim-in-the-1966-world-cup-1.500607833,https://www.youtube.com/watch?v=GoaOgvzY-V4,"FIFA official YouTube (World Cup Rematch full match)"
1978,1978-06-25,Netherlands,Final,pre-match,"Van de Kerkhof cast protest and Gonella's match control",favored_argentina,"Argentina delayed kick-off by protesting Rene van de Kerkhof's arm cast (worn without objection in five earlier games); referee Sergio Gonella upheld the complaint and made him add extra bandaging. Gonella's performance was widely criticised as weak and home-leaning; the Netherlands skipped the post-match ceremony. Gonella later denied conspiracy claims, noting Rensenbrink hit the post at 1-1.",https://www.uefa.com/news-media/news/0246-0f8e6148c60c-2100c6a5de09-1000--euro-and-world-cup-final-referee-gonella-mourned/,https://www.youtube.com/watch?v=g4v4GlEA2yQ,"FIFA official YouTube (10-Minute Match)"
1986,1986-06-22,England,Quarter-final,51,"Hand of God goal",favored_argentina,"Diego Maradona punched the ball over Peter Shilton for Argentina's opener; Tunisian referee Ali Bin Nasser and linesman Bogdan Dochev both missed the handball and the goal stood. Maradona credited 'the hand of God'. Argentina won 2-1 and went on to win the tournament.",https://www.espn.com/soccer/story/_/id/49357302/diego-maradona-hand-god-england-argentina-handball-fifa-world-cup,https://www.fifa.com/en/articles/diego-maradona-argentina-england-hand-of-god-1986,"FIFA.com (official video page)"
1990,1990-06-13,Soviet Union,Group stage,,"Maradona goal-line handball not punished",favored_argentina,"Maradona blocked a goal-bound Soviet header on his own line with his hand ('Hand of God II'); Swedish referee Erik Fredriksson missed it - no penalty and no red card. Maradona later admitted it. Argentina won 2-0.",https://mws.com/us/news/shirt-stories-hand-of-god-II-maradona-handball-italia-90-USSR,,
1990,1990-07-08,West Germany,Final,85,"Codesal penalty for Sensini's challenge on Voller",against_argentina,"Mexican referee Edgardo Codesal awarded West Germany a late penalty for Roberto Sensini's sliding challenge on Rudi Voller - widely seen as soft or a dive; Brehme converted the only goal. Codesal had earlier waved away a similar Argentine appeal (Calderon), and his appointment (his father-in-law sat on FIFA's referees' commission) fuelled Argentine conspiracy claims.",https://www.si.com/soccer/2014/07/11/argentina-germany-world-cup-final-referee-codesal,,
1990,1990-07-08,West Germany,Final,65,"Monzon and Dezotti red cards",against_argentina,"Pedro Monzon (65') became the first player ever sent off in a World Cup final for a challenge on Klinsmann, who was accused by Argentines of exaggerating; Gustavo Dezotti (87') received a harsh second red for wrestling the ball from Kohler at a throw-in. Argentina finished the final with nine men.",https://bleacherreport.com/articles/1765504-world-cup-infamy-the-5-players-sent-off-in-world-cup-finals,,
1998,1998-06-30,England,Round of 16,48,"Beckham red card after Simeone provocation",favored_argentina,"After Diego Simeone's heavy challenge, David Beckham flicked a leg at him and was sent off by Kim Milton Nielsen while Simeone received only a yellow; Simeone later admitted play-acting ('the referee fell into the trap'). Ten-man England held 2-2 and Argentina advanced on penalties.",https://www.beinsports.com/en-us/soccer/fifa-world-cup-2026/articles/david-beckham-s-red-card-against-argentina-in-1998-the-mistake-that-turned-him-into-a-villain-2026-06-03,https://www.youtube.com/watch?v=bezH7GOKnNs,"FIFA official YouTube (full match)"
1998,1998-06-30,England,Round of 16,81,"Sol Campbell goal disallowed",favored_argentina,"Campbell headed England in front late on but referee Kim Milton Nielsen ruled it out for Alan Shearer's elbow/foul on goalkeeper Carlos Roa - a call still disputed in England (Campbell has even suggested corruption). Match finished 2-2 and Argentina won the shootout.",https://uk.sports.yahoo.com/news/sol-campbell-fears-corruption-denied-england-world-cup-124006519.html,https://www.youtube.com/watch?v=bezH7GOKnNs,"FIFA official YouTube (full match)"
1998,1998-07-04,Netherlands,Quarter-final,,"Ortega penalty appeal, dive booking and red card",disputed,"Ariel Ortega went down over Jaap Stam's challenge in the box and was booked for diving as Argentina appealed for a penalty; when Edwin van der Sar rushed over to confront him, Ortega headbutted the keeper and was sent off. Bergkamp's 90th-minute winner followed almost immediately. The dive/penalty judgment is still argued; the red card itself was clear-cut.",https://sports.yahoo.com/our-favorite-games-dutch-buck-quarterfinal-complex-behind-bergkamp-wondergoal-at-world-cup-98-225730539.html,https://www.plus.fifa.com/en/content/netherlands-v-argentina-quarter-finals-1998-fifa-world-cup-france-full-match-replay/a2dea5fe-2fe3-4841-8e12-f75174ce75a2,"FIFA+ (official full match replay)"
