year,host,finish,matches,wins,draws,losses,goals_for,goals_against,source_url
1916,Argentina,Runners-up,3,1,2,0,7,2,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1917,Uruguay,Runners-up,3,2,0,1,5,3,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1919,Brazil,Third place,3,1,0,2,7,7,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1920,Chile,Runners-up,3,1,2,0,4,2,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1921,Argentina,Champions,3,3,0,0,5,0,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1922,Brazil,Fourth place,4,2,0,2,6,3,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1923,Uruguay,Runners-up,3,2,0,1,6,6,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1924,Uruguay,Runners-up,3,1,2,0,2,0,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1925,Argentina,Champions,4,3,1,0,11,4,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1926,Chile,Runners-up,4,2,1,1,14,3,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1927,Peru,Champions,3,3,0,0,15,4,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1929,Argentina,Champions,3,3,0,0,9,1,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1935,Peru,Runners-up,3,2,0,1,8,5,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1937,Argentina,Champions,6,5,0,1,14,5,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1939,Peru,Withdrew,,,,,,,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1941,Chile,Champions,4,4,0,0,10,2,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1942,Uruguay,Runners-up,6,4,1,1,21,6,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1945,Chile,Champions,6,5,1,0,22,5,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1946,Argentina,Champions,5,5,0,0,17,3,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1947,Ecuador,Champions,7,6,1,0,28,4,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1949,Brazil,Withdrew,,,,,,,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1953,Peru,Did not enter,,,,,,,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1955,Chile,Champions,5,4,1,0,18,6,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1956,Uruguay,Third place,5,3,0,2,5,3,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1957,Peru,Champions,6,5,0,1,25,6,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1959,Argentina,Champions,6,5,1,0,19,5,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1959,Ecuador,Runners-up,4,2,1,1,9,9,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1963,Bolivia,Third place,6,3,1,2,15,10,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1967,Uruguay,Runners-up,5,4,0,1,12,3,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1975,None (home-and-away basis),Group stage,4,2,0,2,17,4,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1979,None (home-and-away basis),Group stage,4,1,1,2,7,6,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1983,None (home-and-away basis),Group stage,4,1,3,0,5,4,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1987,Argentina,Fourth place,4,1,1,2,5,4,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1989,Brazil,Third place,7,2,3,2,2,4,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1991,Chile,Champions,7,6,1,0,16,6,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1993,Ecuador,Champions,6,2,4,0,6,4,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1995,Uruguay,Quarter-finals,4,2,1,1,8,6,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1997,Bolivia,Quarter-finals,4,1,2,1,4,3,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
1999,Paraguay,Quarter-finals,4,2,0,2,6,6,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
2001,Colombia,Withdrew,,,,,,,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
2004,Peru,Runners-up,6,4,1,1,16,6,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
2007,Venezuela,Runners-up,6,5,0,1,16,6,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
2011,Argentina,Quarter-finals,4,1,3,0,5,2,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
2015,Chile,Runners-up,6,3,3,0,10,3,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
2016,United States,Runners-up,6,5,1,0,18,2,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
2019,Brazil,Third place,6,3,1,2,7,6,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
2021,Brazil,Champions,7,5,2,0,12,3,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
2024,United States,Champions,6,5,1,0,9,1,https://en.wikipedia.org/wiki/Argentina_at_the_Copa_Am%C3%A9rica
