edition_year,match,referee,referee_country,source_url
1999,Final: Brazil 3-0 Uruguay,Óscar Ruiz,Colombia,https://en.wikipedia.org/wiki/1999_Copa_Am%C3%A9rica
2001,Final: Colombia 1-0 Mexico,Ubaldo Aquino,Paraguay,https://en.wikipedia.org/wiki/2001_Copa_Am%C3%A9rica
2004,Final: Brazil 2-2 Argentina (4-2 pens),Carlos Amarilla,Paraguay,https://en.wikipedia.org/wiki/2004_Copa_Am%C3%A9rica
2007,Final: Brazil 3-0 Argentina,Carlos Amarilla,Paraguay,https://en.wikipedia.org/wiki/2007_Copa_Am%C3%A9rica
2011,Final: Uruguay 3-0 Paraguay,Sálvio Fagundes,Brazil,https://en.wikipedia.org/wiki/2011_Copa_Am%C3%A9rica_knockout_stage
2015,Final: Chile 0-0 Argentina (4-1 pens),Wilmar Roldán,Colombia,https://en.wikipedia.org/wiki/2015_Copa_Am%C3%A9rica_final
2016,Final: Argentina 0-0 Chile (2-4 pens),Héber Lopes,Brazil,https://en.wikipedia.org/wiki/Copa_Am%C3%A9rica_Centenario_Final
2019,Final: Brazil 3-1 Peru,Roberto Tobar,Chile,https://en.wikipedia.org/wiki/2019_Copa_Am%C3%A9rica_final
2021,Final: Argentina 1-0 Brazil,Esteban Ostojich,Uruguay,https://en.wikipedia.org/wiki/2021_Copa_Am%C3%A9rica_final
2024,Final: Argentina 1-0 Colombia (a.e.t.),Raphael Claus,Brazil,https://en.wikipedia.org/wiki/2024_Copa_Am%C3%A9rica_final
2021,Group A: Argentina 1-1 Chile,Wilmar Roldán,Colombia,https://en.wikipedia.org/wiki/2021_Copa_Am%C3%A9rica_Group_A
2021,Group A: Argentina 1-0 Uruguay,Wilton Sampaio,Brazil,https://en.wikipedia.org/wiki/2021_Copa_Am%C3%A9rica_Group_A
2021,Group A: Argentina 1-0 Paraguay,Jesús Valenzuela,Venezuela,https://en.wikipedia.org/wiki/2021_Copa_Am%C3%A9rica_Group_A
2021,Group A: Bolivia 1-4 Argentina,Andrés Rojas,Colombia,https://en.wikipedia.org/wiki/2021_Copa_Am%C3%A9rica_Group_A
2021,Quarter-final: Argentina 3-0 Ecuador,Wilton Sampaio,Brazil,https://en.wikipedia.org/wiki/2021_Copa_Am%C3%A9rica_knockout_stage
2021,Semi-final: Argentina 1-1 Colombia (3-2 pens),Jesús Valenzuela,Venezuela,https://en.wikipedia.org/wiki/2021_Copa_Am%C3%A9rica_knockout_stage
2024,Group A: Argentina 2-0 Canada,Jesús Valenzuela,Venezuela,https://en.wikipedia.org/wiki/2024_Copa_Am%C3%A9rica_Group_A
2024,Group A: Chile 0-1 Argentina,Andrés Matonte,Uruguay,https://en.wikipedia.org/wiki/2024_Copa_Am%C3%A9rica_Group_A
2024,Group A: Argentina 2-0 Peru,César Ramos,Mexico,https://en.wikipedia.org/wiki/2024_Copa_Am%C3%A9rica_Group_A
2024,Quarter-final: Argentina 1-1 Ecuador (4-2 pens),Andrés Matonte,Uruguay,https://en.wikipedia.org/wiki/2024_Copa_Am%C3%A9rica_knockout_stage
2024,Semi-final: Argentina 2-0 Canada,Piero Maza,Chile,https://en.wikipedia.org/wiki/2024_Copa_Am%C3%A9rica_knockout_stage
