edition_year,team,matches_played,fouls_committed,fouls_drawn,yellow_cards,red_cards,penalties_won,penalties_conceded,penalty_kicks_attempted,source_url
2015,Argentina,6,39,47,3,0,1,0,1,https://web.archive.org/web/20200914233006/https://fbref.com/en/comps/685/10341/misc/2015-Copa-America-Stats
2015,Bolivia,4,71,45,8,0,1,1,2,https://web.archive.org/web/20200914233006/https://fbref.com/en/comps/685/10341/misc/2015-Copa-America-Stats
2015,Brazil,4,54,48,2,0,0,0,0,https://web.archive.org/web/20200914233006/https://fbref.com/en/comps/685/10341/misc/2015-Copa-America-Stats
2015,Chile,6,38,55,4,1,2,0,2,https://web.archive.org/web/20200914233006/https://fbref.com/en/comps/685/10341/misc/2015-Copa-America-Stats
2015,Colombia,4,49,61,6,1,0,0,0,https://web.archive.org/web/20200914233006/https://fbref.com/en/comps/685/10341/misc/2015-Copa-America-Stats
2015,Ecuador,3,51,58,7,0,1,3,1,https://web.archive.org/web/20200914233006/https://fbref.com/en/comps/685/10341/misc/2015-Copa-America-Stats
2015,Jamaica,3,43,43,6,0,0,0,0,https://web.archive.org/web/20200914233006/https://fbref.com/en/comps/685/10341/misc/2015-Copa-America-Stats
2015,Mexico,3,56,47,5,0,1,1,1,https://web.archive.org/web/20200914233006/https://fbref.com/en/comps/685/10341/misc/2015-Copa-America-Stats
2015,Paraguay,6,55,40,1,0,0,1,1,https://web.archive.org/web/20200914233006/https://fbref.com/en/comps/685/10341/misc/2015-Copa-America-Stats
2015,Peru,6,55,44,8,0,0,0,0,https://web.archive.org/web/20200914233006/https://fbref.com/en/comps/685/10341/misc/2015-Copa-America-Stats
2015,Uruguay,4,51,50,8,2,0,0,0,https://web.archive.org/web/20200914233006/https://fbref.com/en/comps/685/10341/misc/2015-Copa-America-Stats
2015,Venezuela,3,53,49,8,1,0,0,0,https://web.archive.org/web/20200914233006/https://fbref.com/en/comps/685/10341/misc/2015-Copa-America-Stats
2016,Argentina,6,77,98,1,0,,,0,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Bolivia,3,55,46,9,0,,,0,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Brazil,3,38,39,6,0,,,0,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Chile,6,97,76,6,1,,,1,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Colombia,6,86,96,3,2,,,1,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
2016,Costa Rica,3,51,31,6,1,,,0,https://web.archive.org/web/20200903013137/https://fbref.com/de/comps/685/10342/misc/2016-Copa-America-Centenario-Stats
