tournament_year,team,elo,rating_date,source_url
1990,Argentina,1794,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Austria,1765,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Belgium,1844,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Brazil,1993,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Cameroon,1631,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Colombia,1801,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Costa Rica,1611,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Czechoslovakia,1855,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Egypt,1627,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,England,1944,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Italy,1965,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Netherlands,2033,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Republic of Ireland,1891,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Romania,1894,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Scotland,1738,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,South Korea,1746,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Soviet Union,1942,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Spain,1927,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Sweden,1952,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,United Arab Emirates,1455,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,United States,1586,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Uruguay,1893,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,West Germany,1994,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1990,Yugoslavia,1893,1990-06-07,https://www.eloratings.net/1990_World_Cup.tsv
1994,Argentina,1915,1994-06-16,https://www.eloratings.net/1994_World_Cup.tsv
1994,Belgium,1823,1994-06-16,https://www.eloratings.net/1994_World_Cup.tsv
1994,Bolivia,1703,1994-06-16,https://www.eloratings.net/1994_World_Cup.tsv
1994,Brazil,1963,1994-06-16,https://www.eloratings.net/1994_World_Cup.tsv
1994,Bulgaria,1772,1994-06-16,https://www.eloratings.net/1994_World_Cup.tsv
1994,Cameroon,1684,1994-06-16,https://www.eloratings.net/1994_World_Cup.tsv
1994,Colombia,1943,1994-06-16,https://www.eloratings.net/1994_World_Cup.tsv
1994,Germany,2009,1994-06-16,https://www.eloratings.net/1994_World_Cup.tsv
1994,Greece,1688,1994-06-16,https://www.eloratings.net/1994_World_Cup.tsv
