tournament_year,team,elo,rating_date,source_url
1930,Argentina,2073,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1930,Belgium,1661,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1930,Bolivia,1258,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1930,Brazil,1923,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1930,Chile,1575,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1930,France,1547,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1930,Mexico,1613,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1930,Paraguay,1777,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1930,Peru,1541,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1930,Romania,1561,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1930,United States,1672,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1930,Uruguay,1968,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1930,Yugoslavia,1590,1930-07-12,https://www.eloratings.net/1930_World_Cup.tsv
1934,Argentina,2062,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Austria,2050,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Belgium,1549,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Brazil,1934,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Czechoslovakia,1847,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Egypt,1707,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,France,1626,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Germany,1799,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Hungary,1829,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Italy,1975,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Netherlands,1707,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Romania,1639,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Spain,1936,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Sweden,1731,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,Switzerland,1615,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1934,United States,1778,1934-05-26,https://www.eloratings.net/1934_World_Cup.tsv
1938,Belgium,1567,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Brazil,1904,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Cuba,1543,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Czechoslovakia,1822,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Dutch East Indies,1468,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,France,1630,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Germany,1830,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Hungary,1929,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Italy,2053,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Netherlands,1706,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Norway,1731,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Poland,1629,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Romania,1557,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Sweden,1652,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1938,Switzerland,1670,1938-06-03,https://www.eloratings.net/1938_World_Cup.tsv
1950,Bolivia,1445,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1950,Brazil,1967,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1950,Chile,1599,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1950,England,2067,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1950,Italy,1973,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1950,Mexico,1838,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1950,Paraguay,1877,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1950,Spain,1899,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1950,Sweden,1972,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1950,Switzerland,1707,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1950,United States,1585,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1950,Uruguay,1737,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1950,Yugoslavia,1822,1950-06-23,https://www.eloratings.net/1950_World_Cup.tsv
1954,Austria,1866,1954-06-15,https://www.eloratings.net/1954_World_Cup.tsv
1954,Belgium,1775,1954-06-15,https://www.eloratings.net/1954_World_Cup.tsv
1954,Brazil,2031,1954-06-15,https://www.eloratings.net/1954_World_Cup.tsv
1954,Czechoslovakia,1749,1954-06-15,https://www.eloratings.net/1954_World_Cup.tsv
