tournament_year,team,matches_played,fouls_committed,fouls_drawn,yellow_cards,red_cards,penalties_won,penalties_conceded,penalty_kicks_attempted,source_url
2014,Algeria,4,,,6,0,,,1,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Argentina,7,,,8,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Australia,3,,,6,0,,,1,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Belgium,5,,,7,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Bosnia and Herzegovina,3,,,3,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Brazil,7,,,14,0,,,1,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Cameroon,3,,,4,1,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Chile,4,,,7,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Colombia,5,,,5,0,,,2,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Costa Rica,5,,,12,1,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Croatia,3,,,4,1,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Ecuador,3,,,5,1,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,England,3,,,4,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,France,5,,,5,0,,,2,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Germany,7,,,6,0,,,1,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Ghana,3,,,6,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Greece,4,,,8,1,,,1,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Honduras,3,,,7,1,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Iran,3,,,4,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Italy,3,,,3,1,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Ivory Coast,3,,,7,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Japan,3,,,4,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Mexico,4,,,8,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Netherlands,7,,,11,0,,,2,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Nigeria,4,,,3,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Portugal,3,,,2,1,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
2014,Russia,3,,,4,0,,,0,https://web.archive.org/web/20260716204012/https://fbref.com/en/comps/1/2014/misc/2014-FIFA-World-Cup-Stats
