tournament_year,match_date,stage,team_awarded,opponent,converted,taker,source_url
1930,1930-07-19,Group 1,Chile,France,no,Vidal,https://web.archive.org/web/20120626030433/http://www.linguasport.com/futbol/internacional/mundial/1930_URUGUAY_FS.htm
1930,1930-07-19,Group 1,Argentina,Mexico,no,Paternoster,https://www.rsssf.org/tables/30full.html
1930,1930-07-19,Group 1,Mexico,Argentina,yes,M.Rosas,https://www.rsssf.org/tables/30full.html
1930,1930-07-19,Group 1,Mexico,Argentina,no,M.Rosas,https://www.rsssf.org/tables/30full.html
1930,1930-07-20,Group 2,Bolivia,Brazil,no,Sáinz,https://web.archive.org/web/20120626030433/http://www.linguasport.com/futbol/internacional/mundial/1930_URUGUAY_FS.htm
1934,1934-05-27,Round of 16,France,Austria,yes,Verriest,https://www.rsssf.org/tables/34full.html
1934,1934-05-27,Round of 16,Spain,Brazil,yes,Iraragorri,https://www.rsssf.org/tables/34full.html
1934,1934-05-27,Round of 16,Brazil,Spain,no,Waldemar de Brito,https://www.rsssf.org/tables/34full.html
1934,1934-05-31,Quarter-final,Hungary,Austria,yes,Sárosi,https://www.rsssf.org/tables/34full.html
1938,1938-06-05,Round of 16,Poland,Brazil,yes,Scherfke,https://www.rsssf.org/tables/38full.html
1938,1938-06-12,Quarter-final,Cuba,Sweden,no,Fernández,https://www.rsssf.org/tables/38full.html
1938,1938-06-12,Quarter-final,Czechoslovakia,Brazil,yes,Nejedlý,https://www.rsssf.org/tables/38full.html
1938,1938-06-16,Semi-final,Italy,Brazil,yes,Meazza,https://www.rsssf.org/tables/38full.html
1938,1938-06-19,Third place,Brazil,Sweden,no,Patesko,https://www.rsssf.org/tables/38full.html
1950,1950-06-28,Group 1,Mexico,Yugoslavia,yes,Ortiz,https://web.archive.org/web/20161007184737/http://www.linguasport.com/futbol/internacional/mundial/1950_BRAZIL_FS.htm
1950,1950-07-02,Group 2,United States,Chile,yes,Maca,https://web.archive.org/web/20161007184737/http://www.linguasport.com/futbol/internacional/mundial/1950_BRAZIL_FS.htm
1950,1950-07-09,Final round,Sweden,Brazil,yes,Andersson,https://web.archive.org/web/20161007184737/http://www.linguasport.com/futbol/internacional/mundial/1950_BRAZIL_FS.htm
1954,1954-06-19,Group 1,France,Mexico,yes,Kopa,https://www.rsssf.org/tables/54full.html
1954,1954-06-20,Group 4,Italy,Belgium,yes,Pandolfini,https://www.rsssf.org/tables/54full.html
1954,1954-06-26,Quarter-final,Austria,Switzerland,no,A.Körner,https://www.rsssf.org/tables/54full.html
1954,1954-06-27,Quarter-final,Brazil,Hungary,yes,Djalma Santos,https://www.rsssf.org/tables/54full.html
1954,1954-06-27,Quarter-final,Hungary,Brazil,yes,Lantos,https://www.rsssf.org/tables/54full.html
1954,1954-06-30,Semi-final,West Germany,Austria,yes,F.Walter,https://www.rsssf.org/tables/54full.html
1954,1954-06-30,Semi-final,West Germany,Austria,yes,F.Walter,https://www.rsssf.org/tables/54full.html
1954,1954-07-03,Third place,Austria,Uruguay,yes,Stojaspal,https://www.rsssf.org/tables/54full.html
1958,1958-06-08,Group 2,Paraguay,France,yes,Amarilla,https://www.rsssf.org/tables/58full.html
1958,1958-06-08,Group 3,Sweden,Mexico,yes,Liedholm,https://www.rsssf.org/tables/58full.html
1958,1958-06-08,Group 4,England,Soviet Union,yes,Finney,https://www.rsssf.org/tables/58full.html
1958,1958-06-11,Group 1,Czechoslovakia,West Germany,yes,Dvořák,https://www.rsssf.org/tables/58full.html
1958,1958-06-11,Group 1,Argentina,Northern Ireland,yes,Corbatta,https://www.rsssf.org/tables/58full.html
1958,1958-06-11,Group 4,Austria,Soviet Union,no,Buzek,https://www.rsssf.org/tables/58full.html
1958,1958-06-12,Group 3,Sweden,Hungary,no,Liedholm,https://www.rsssf.org/tables/58full.html
1958,1958-06-15,Group 1,Argentina,Czechoslovakia,yes,Corbatta,https://www.rsssf.org/tables/58full.html
1958,1958-06-15,Group 2,Scotland,France,no,Hewie,https://web.archive.org/web/20170628232729/http://www.linguasport.com/futbol/internacional/mundial/1958_SWEDEN_FS.htm
1958,1958-06-28,Third place,France,West Germany,yes,Kopa,https://web.archive.org/web/20170628232729/http://www.linguasport.com/futbol/internacional/mundial/1958_SWEDEN_FS.htm
1962,1962-05-30,Group 1,Colombia,Uruguay,yes,Zuluaga,https://www.rsssf.org/tables/62full.html
1962,1962-05-31,Group 4,England,Hungary,yes,Flowers,https://web.archive.org/web/20170509015505/http://www.linguasport.com/futbol/internacional/mundial/1962_CHILE_FS.htm
1962,1962-06-02,Group 1,Yugoslavia,Uruguay,yes,Skoblar,https://www.rsssf.org/tables/62full.html
1962,1962-06-02,Group 4,England,Argentina,yes,Flowers,https://www.rsssf.org/tables/62full.html
1962,1962-06-06,Group 2,West Germany,Chile,yes,Szymaniak,https://www.rsssf.org/tables/62full.html
1962,1962-06-07,Group 3,Mexico,Czechoslovakia,yes,H.Hernández,https://www.rsssf.org/tables/62full.html
