year,match_date,team,opponent,player,fouls_total,got_yellow,fouls_before_first_yellow
2018,2018-06-14,Russia,Saudi Arabia,Aleksandr Golovin,6,yes,4
2018,2018-06-14,Russia,Saudi Arabia,Aleksandr Samedov,2,no,
2018,2018-06-14,Russia,Saudi Arabia,Artem Dzyuba,1,no,
2018,2018-06-14,Russia,Saudi Arabia,Daler Kuzyaev,1,no,
2018,2018-06-14,Russia,Saudi Arabia,Denis Cheryshev,4,no,
2018,2018-06-14,Russia,Saudi Arabia,Fyodor Smolov,2,no,
2018,2018-06-14,Russia,Saudi Arabia,Ilya Kutepov,1,no,
2018,2018-06-14,Russia,Saudi Arabia,Roman Zobnin,1,no,
2018,2018-06-14,Russia,Saudi Arabia,Yuri Zhirkov,2,no,
2018,2018-06-14,Russia,Saudi Arabia,Yury Gazinskiy,3,no,
2018,2018-06-14,Saudi Arabia,Russia,Abdullah Ibrahim Otayf,1,no,
2018,2018-06-14,Saudi Arabia,Russia,Fahad Mosaed Al Muwallad Al Harbi,1,no,
2018,2018-06-14,Saudi Arabia,Russia,Hattan Babhir,1,no,
2018,2018-06-14,Saudi Arabia,Russia,Mohammad Ibrahim Al Sahlawi,2,no,
2018,2018-06-14,Saudi Arabia,Russia,Omar Ibrahim Omar Othman Hawsawi,1,no,
2018,2018-06-14,Saudi Arabia,Russia,Salman Mohammed Al Faraj,1,no,
2018,2018-06-14,Saudi Arabia,Russia,Taisir Jabir Al Jassim,4,yes,3
2018,2018-06-14,Saudi Arabia,Russia,Yasir Gharsan Al Shahrani,1,no,
2018,2018-06-15,Egypt,Uruguay,Abdalla Mahmoud El Said Bekhit,1,no,
2018,2018-06-15,Egypt,Uruguay,Ahmed Elsayed Ali Elsayed Hegazy,1,yes,0
2018,2018-06-15,Egypt,Uruguay,Ahmed Fathy Abdel Meneim Ibrahim,1,no,
2018,2018-06-15,Egypt,Uruguay,Amr Medhat Warda,1,no,
2018,2018-06-15,Egypt,Uruguay,Mahmoud Abdul Monem Abdelhamid Soliman,1,no,
2018,2018-06-15,Egypt,Uruguay,Mahmoud Ibrahim Hassan,3,no,
2018,2018-06-15,Egypt,Uruguay,Marwan Mohsen,1,no,
2018,2018-06-15,Egypt,Uruguay,Mohamed Abdul Shafy Sayed Abouezeid,1,no,
2018,2018-06-15,Egypt,Uruguay,Mohamed Naser Elsayed Elneny,3,no,
2018,2018-06-15,Egypt,Uruguay,Sam Morsy,2,no,
2018,2018-06-15,Egypt,Uruguay,Tarek Hamed,1,no,
2018,2018-06-15,Iran,Morocco,Alireza Jahanbakhsh,2,yes,1
2018,2018-06-15,Iran,Morocco,Karim Ansarifard,2,yes,1
2018,2018-06-15,Iran,Morocco,Masoud Shojaei Soleimani,4,yes,1
2018,2018-06-15,Iran,Morocco,Mehdi Taremi,1,no,
2018,2018-06-15,Iran,Morocco,Ramin Rezaeian,2,no,
2018,2018-06-15,Iran,Morocco,Saman Ghoddos,2,no,
2018,2018-06-15,Iran,Morocco,Vahid Amiri,3,no,
2018,2018-06-15,Morocco,Iran,Achraf Hakimi Mouh,1,no,
2018,2018-06-15,Morocco,Iran,Amine Harit,1,no,
2018,2018-06-15,Morocco,Iran,Ayoub El Kaabi,2,no,
2018,2018-06-15,Morocco,Iran,Aziz Bouhaddouz,1,no,
2018,2018-06-15,Morocco,Iran,Hakim Ziyech,5,no,
2018,2018-06-15,Morocco,Iran,Karim El Ahmadi Al Aroos,2,yes,1
2018,2018-06-15,Morocco,Iran,Medhi Amine El Mouttaqi Benatia,1,no,
2018,2018-06-15,Morocco,Iran,Nordin Amrabat,4,no,
2018,2018-06-15,Morocco,Iran,Romain Saïss,2,no,
2018,2018-06-15,Morocco,Iran,Sofyan Amrabat,2,no,
2018,2018-06-15,Morocco,Iran,Younès Belhanda,1,no,
2018,2018-06-15,Portugal,Spain,Bernardo Mota Veiga de Carvalho e Silva,2,no,
2018,2018-06-15,Portugal,Spain,Bruno Miguel Borges Fernandes,1,yes,0
2018,2018-06-15,Portugal,Spain,Cédric Ricardo Alves Soares,1,no,
2018,2018-06-15,Portugal,Spain,Gonçalo Manuel Ganchinho Guedes,1,no,
2018,2018-06-15,Portugal,Spain,João Filipe Iria Santos Moutinho,3,no,
2018,2018-06-15,Portugal,Spain,João Mário Naval da Costa Eduardo,1,no,
2018,2018-06-15,Portugal,Spain,Kléper Laveran Lima Ferreira,2,no,
2018,2018-06-15,Portugal,Spain,Ricardo Andrade Quaresma Bernardo,1,no,
2018,2018-06-15,Portugal,Spain,William Silva de Carvalho,1,no,
2018,2018-06-15,Spain,Portugal,David Josué Jiménez Silva,2,no,
2018,2018-06-15,Spain,Portugal,Gerard Piqué Bernabéu,2,no,
2018,2018-06-15,Spain,Portugal,Jordi Alba Ramos,1,no,
2018,2018-06-15,Spain,Portugal,José Ignacio Fernández Iglesias,4,no,
2018,2018-06-15,Spain,Portugal,Sergio Busquets i Burgos,2,yes,1
2018,2018-06-15,Uruguay,Egypt,Giorgian Daniel De Arrascaeta Benedetti,1,no,
2018,2018-06-15,Uruguay,Egypt,Guillermo Varela Olivera,1,no,
2018,2018-06-15,Uruguay,Egypt,José Martín Cáceres Silva,3,no,
2018,2018-06-15,Uruguay,Egypt,José María Giménez de Vargas,1,no,
2018,2018-06-15,Uruguay,Egypt,Rodrigo Bentancur Colmán,1,no,
2018,2018-06-16,Argentina,Iceland,Javier Alejandro Mascherano,6,no,
2018,2018-06-16,Argentina,Iceland,Lionel Andrés Messi Cuccittini,1,no,
2018,2018-06-16,Argentina,Iceland,Maximiliano Eduardo Meza,3,no,
2018,2018-06-16,Argentina,Iceland,Nicolás Alejandro Tagliafico,1,no,
2018,2018-06-16,Australia,France,Aaron Mooy,1,no,
2018,2018-06-16,Australia,France,Andrew Nabbout,1,no,
2018,2018-06-16,Australia,France,Aziz Eraltay Behich,3,yes,2
2018,2018-06-16,Australia,France,Josh Risdon,3,yes,1
2018,2018-06-16,Australia,France,Mark Milligan,1,no,
