year,team,fouls_total,yellows_for_fouls,booked_player_matches,mean_fouls_before_first_yellow,fouls_per_booking
2018,Argentina,62,7,11,0.909,8.857
2018,Australia,38,6,6,0.667,6.333
2018,Belgium,106,9,11,0.818,11.778
2018,Brazil,58,5,7,1.143,11.6
2018,Colombia,65,7,9,0.667,9.286
2018,Costa Rica,50,3,5,0.6,16.667
2018,Croatia,122,12,14,1.786,10.167
2018,Denmark,58,5,6,1.333,11.6
2018,Egypt,44,4,4,1.5,11.0
2018,England,75,4,8,0.75,18.75
2018,France,99,6,10,1.4,16.5
2018,Germany,32,4,3,0.667,8.0
2018,Iceland,43,3,3,1.333,14.333
2018,Iran,46,5,6,1.0,9.2
2018,Japan,43,4,4,0.0,10.75
2018,Mexico,58,8,9,1.0,7.25
2018,Morocco,63,5,8,0.625,12.6
2018,Nigeria,46,4,4,1.25,11.5
2018,Panama,53,7,9,1.333,7.571
2018,Peru,38,4,5,0.8,9.5
2018,Poland,33,3,3,1.0,11.0
2018,Portugal,53,4,5,0.2,13.25
2018,Russia,97,7,7,1.286,13.857
2018,Saudi Arabia,33,1,1,3.0,33.0
2018,Senegal,47,4,5,0.8,11.75
2018,Serbia,47,6,9,0.778,7.833
2018,South Korea,64,9,9,1.667,7.111
2018,Spain,38,2,2,0.5,19.0
2018,Sweden,80,7,8,1.0,11.429
2018,Switzerland,60,6,7,1.143,10.0
2018,Tunisia,50,4,4,1.0,12.5
2018,Uruguay,75,2,3,2.0,37.5
2022,Argentina,114,11,17,0.882,10.364
2022,Australia,60,7,7,0.714,8.571
2022,Belgium,31,5,5,0.6,6.2
2022,Brazil,66,6,6,0.333,11.0
2022,Cameroon,36,6,7,0.571,6.0
2022,Canada,37,7,8,1.0,5.286
2022,Costa Rica,31,6,6,0.833,5.167
2022,Croatia,101,5,8,1.25,20.2
2022,Denmark,34,5,5,0.0,6.8
2022,Ecuador,50,3,3,0.667,16.667
2022,England,57,1,1,0.0,57.0
2022,France,75,7,8,0.875,10.714
2022,Germany,31,3,3,1.333,10.333
2022,Ghana,51,7,8,0.75,7.286
2022,Iran,52,5,7,0.429,10.4
2022,Japan,63,6,6,1.0,10.5
2022,Mexico,53,7,7,0.571,7.571
2022,Morocco,115,7,8,1.25,16.429
2022,Netherlands,99,4,11,1.636,24.75
2022,Poland,52,7,7,0.429,7.429
2022,Portugal,59,5,6,0.5,11.8
2022,Qatar,36,7,7,0.143,5.143
2022,Saudi Arabia,59,9,14,1.214,6.556
2022,Senegal,49,7,7,0.286,7.0
2022,Serbia,48,7,12,1.333,6.857
2022,South Korea,47,5,6,0.667,9.4
2022,Spain,44,2,2,0.0,22.0
2022,Switzerland,61,8,9,0.667,7.625
2022,Tunisia,41,5,5,0.4,8.2
2022,United States,51,5,5,0.2,10.2
2022,Uruguay,34,3,8,0.125,11.333
2022,Wales,38,5,5,0.6,7.6
