competition,year,player,team,position,minutes,tackles,tackles_won,challenges_att,challenges_lost,fouls_committed,fouls_drawn,yellow_cards,red_cards,source_url
FIFA World Cup,2018,Cristian Pavón,Argentina,"FW,MF",155,,2,,,2,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Eduardo Salvio,Argentina,DF,145,,2,,,0,5,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Enzo Pérez,Argentina,MF,192,,2,,,5,3,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Federico Fazio,Argentina,DF,45,,0,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Franco Armani,Argentina,GK,180,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Gabriel Mercado,Argentina,DF,270,,4,,,8,5,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Gonzalo Higuaín,Argentina,FW,134,,0,,,2,2,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Javier Mascherano,Argentina,MF,360,,7,,,15,7,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Lionel Messi,Argentina,"MF,FW",360,,5,,,4,17,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Lucas Biglia,Argentina,MF,53,,1,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Marcos Acuña,Argentina,DF,90,,1,,,1,3,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Marcos Rojo,Argentina,DF,225,,2,,,3,2,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Maximiliano Meza,Argentina,"MF,FW",208,,2,,,3,7,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Nicolás Otamendi,Argentina,DF,360,,7,,,4,5,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Nicolás Tagliafico,Argentina,DF,349,,3,,,6,7,1,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Paulo Dybala,Argentina,DF,23,,0,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Sergio Agüero,Argentina,FW,179,,3,,,0,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Willy Caballero,Argentina,GK,180,,0,,,0,0,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Ángel Di María,Argentina,"FW,MF",235,,0,,,1,7,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Éver Banega,Argentina,MF,217,,6,,,3,3,2,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
FIFA World Cup,2018,Aaron Mooy,Australia,MF,270,,2,,,4,1,0,0,https://web.archive.org/web/20260606150656/https://fbref.com/en/comps/1/2018/defense/2018-FIFA-World-Cup-Stats
