official,matches,wins,draws,losses,roles,years,others_matches,win_pct,others_win_pct,expected_win_pct,delta_vs_expected,scope
Abdelhak Etchiali,1,0,0,1,avar2,2022,14,0.0,36,63.0,-63.0,crew
Abdukhamidullo Rasulov,1,0,0,1,assistant1,2018,10,0.0,40,100.0,-100.0,crew
Abraham Klein,1,0,0,1,referee,1978,18,0.0,39,25.0,-25.0,crew
Adam Kupsik,1,1,0,0,assistant2,2026,2,100.0,0,63.0,37.0,crew
Adolf Prokop,1,0,1,0,assistant2,1978,12,0.0,17,33.0,-33.0,crew
Ahmed Hossam Taha,1,1,0,0,assistant2,2026,2,100.0,50,63.0,37.0,crew
Alan Snoddy,1,0,1,0,assistant1,1986,18,0.0,44,25.0,-25.0,crew
Alberto Warnken,1,1,0,0,assistant2,1930,8,100.0,50,63.0,37.0,crew
Albino Carraro,1,0,0,1,assistant1,1934,2,0.0,50,0.0,0.0,crew
Alejandro Hernández Hernández,2,2,0,0,fourth_official/var,2022/2026,22,100.0,50,52.0,48.0,crew
Alessandro Giallatini,4,4,0,0,assistant2/avar2,2022,6,100.0,50,63.0,37.0,crew
Alessandro Stagnoli,1,1,0,0,assistant2,2006,6,100.0,50,63.0,37.0,crew
Alexey Spirin,1,1,0,0,assistant1,1990,6,100.0,33,0.0,100.0,crew
Alfonso González Archundía,1,0,0,1,assistant2,1978,18,0.0,33,25.0,-25.0,crew
Ali Bin Nasser,1,1,0,0,referee,1986,8,100.0,25,40.0,60.0,crew
Ali Bujsaim,1,0,1,0,referee,2002,24,0.0,46,0.0,0.0,crew
Alireza Faghani,1,0,0,1,referee,2018,32,0.0,44,100.0,-100.0,crew
Alojzy Jarguz,1,0,0,1,assistant2,1982,12,0.0,33,100.0,-100.0,crew
Amin Omar,1,1,0,0,referee,2026,4,100.0,50,63.0,37.0,crew
Andraž Kovačič,1,0,0,1,assistant2,2022,8,0.0,38,63.0,-63.0,crew
Andrea Stefani,3,2,0,1,assistant2,2014,2,67.0,50,50.0,17.0,crew
Antonio Mateu Lahoz,1,1,0,0,referee,2022,14,100.0,43,40.0,60.0,crew
Antonio Márquez Ramírez,2,1,1,0,assistant2/referee,1986,4,50.0,50,38.0,12.0,crew
António Garrido,1,1,0,0,referee,1978,12,100.0,50,50.0,50.0,crew
Aristidis Chris Soldatos,1,1,0,0,assistant1,1998,4,100.0,25,50.0,50.0,crew
Armando Pérez Hoyos,1,0,0,1,assistant1,1990,10,0.0,50,33.0,-33.0,crew
Armando Villarreal,1,1,0,0,var,2026,44,100.0,41,63.0,37.0,crew
Arthur Edward Ellis,1,0,0,1,referee,1958,22,0.0,45,63.0,-63.0,crew
Arturo Angeles,1,1,0,0,referee,1994,6,100.0,50,100.0,0.0,crew
