official,matches,wins,draws,losses,card_net,roles,years,ref_matches,win_pct,card_net_pm
Alessandro Giallatini,4,4,0,0,5,assistant2/avar2,2022,0,100,1.25
Berny Ulloa Morera,4,3,1,0,-2,assistant1/assistant2/referee,1986/1990,1,75,-0.5
Massimiliano Irrati,4,3,0,1,0,avar3/var,2018/2022,0,75,0.0
Paweł Sokolnicki,4,3,1,0,-1,assistant1/avar2,2018/2022,0,75,-0.25
Szymon Marciniak,4,3,1,0,0,referee,2018/2022/2026,4,75,0.0
Tomasz Listkiewicz,4,3,1,0,0,assistant1/assistant2,2018/2022/2026,0,75,0.0
Ulises Saucedo,4,3,0,1,0,assistant1/assistant2/referee,1930,1,75,0.0
Daniele Orsato,3,3,0,0,2,referee/var,2018/2022,2,100,0.67
Drew Fischer,3,3,0,0,-2,avar1/fourth_official/referee,2022/2026,1,100,-0.67
Juan Soto,3,3,0,0,-2,avar1/avar3,2022,0,100,-0.67
Marco Di Bello,3,3,0,0,-1,avar2/var,2026,0,100,-0.33
Tatiana Guzmán,3,3,0,0,-2,avar2,2026,0,100,-0.67
Tomasz Kwiatkowski,3,3,0,0,0,var,2022/2026,0,100,0.0
Andrea Stefani,3,2,0,1,3,assistant2,2014,0,67,1.0
Belaïd Lacarne,3,2,0,1,0,assistant2/referee,1982,1,67,0.0
Carlos Silva Valente,3,2,1,0,2,assistant1/referee,1986/1990,1,67,0.67
Jerome Damon,3,2,0,1,-1,fourth_official,2010,0,67,-0.33
Joaquim Campos,3,2,1,0,0,assistant1/referee,1958/1966,1,67,0.0
John Langenus,3,2,0,1,0,referee,1930,3,67,0.0
Michel Vautrot,3,2,0,1,-3,assistant1/referee,1982/1990,2,67,-1.0
Nicola Rizzoli,3,2,0,1,3,referee,2014,3,67,1.0
Paolo Valeri,3,2,0,1,1,avar1/avar3,2018/2022,0,67,0.33
Renato Faverani,3,2,0,1,3,assistant1,2014,0,67,1.0
Youssou N'Diaye,3,2,0,1,-1,assistant1/assistant2,1974/1978,0,67,-0.33
Bastian Dankert,3,1,0,2,7,avar1,2018/2022,0,33,2.33
Michał Listkiewicz,3,1,0,2,-5,assistant1/assistant2,1990,0,33,-1.67
Nicolae Rainea,3,1,1,1,-1,assistant2/referee,1974/1982,1,33,-0.33
Paweł Gil,3,1,1,1,-3,avar1,2018,0,33,-1.0
Ravshan Irmatov,3,1,0,2,0,referee,2010/2018,3,33,0.0
Alejandro Hernández Hernández,2,2,0,0,0,fourth_official/var,2022/2026,0,100,0.0
Bahattin Duran,2,2,0,0,0,assistant1,2014/2018,0,100,0.0
Bram Van Driessche,2,2,0,0,7,avar2/var,2026,0,100,3.5
Ciro Carbone,2,2,0,0,3,assistant1,2022,0,100,1.5
Constantin Rădulescu,2,2,0,0,0,assistant2,1930,0,100,0.0
Cüneyt Çakır,2,2,0,0,0,referee,2014/2018,2,100,0.0
Erik Fredriksson,2,2,0,0,-5,assistant1/referee,1986/1990,1,100,-2.5
Frank De Bleeckere,2,2,0,0,-2,referee,2006/2010,2,100,-1.0
Ismail Elfath,2,2,0,0,-4,fourth_official/referee,2022/2026,1,100,-2.0
István Kovács,2,2,0,0,6,fourth_official/referee,2022/2026,1,100,3.0
Jonas Eriksson,2,2,0,0,0,fourth_official/referee,2014,1,100,0.0
Juan Lara,2,2,0,0,-4,avar1,2026,0,100,-2.0
Jérôme Brisard,2,2,0,0,7,avar3/var,2022/2026,0,100,3.5
Kathryn Nesbitt,2,2,0,0,0,avar2,2022,0,100,0.0
Khalil Al Ghamdi,2,2,0,0,2,fourth_official,2006/2010,0,100,1.0
Kyle Atkins,2,2,0,0,-4,assistant2/avar2,2022/2026,0,100,-2.0
Mario van der Ende,2,2,0,0,4,fourth_official/referee,1994/1998,1,100,2.0
Peter Hermans,2,2,0,0,-2,assistant1,2006/2010,0,100,-1.0
Roberto Díaz Pérez del Palomar,2,2,0,0,3,assistant2/avar2,2022,0,100,1.5
Roberto Rosetti,2,2,0,0,3,referee,2006/2010,2,100,1.5
Romualdo Arppi Filho,2,2,0,0,-3,assistant2/referee,1986,1,100,-1.5
Rune Pedersen,2,2,0,0,0,fourth_official/referee,1998,1,100,0.0
Sergio Gonella,2,2,0,0,1,assistant2/referee,1978,1,100,0.5
Svein Oddvar Moen,2,2,0,0,1,fourth_official,2014,0,100,0.5
Tarık Ongun,2,2,0,0,0,assistant2,2014/2018,0,100,0.0
Walter Vromans,2,2,0,0,-2,assistant2,2006/2010,0,100,-1.0
Antonio Márquez Ramírez,2,1,1,0,-1,assistant2/referee,1986,1,50,-0.5
Arturo Yamasaki Maldonado,2,1,1,0,0,assistant1/referee,1962/1966,1,50,0.0
Bakhadyr Kochkarov,2,1,0,1,-1,assistant2,2010,0,50,-0.5
Danny Makkelie,2,1,0,1,1,avar3/referee,2018/2022,1,50,0.5
Erich Linemayr,2,1,1,0,1,assistant1/assistant2,1978,0,50,0.5
Heiner Müller,2,1,1,0,-2,assistant1/assistant2,2002,0,50,-1.0
Helge,2,1,0,1,0,assistant1/assistant2,1958,0,50,0.0
Henri Christophe,2,1,0,1,0,assistant1,1930,0,50,0.0
István Zsolt,2,1,0,1,0,assistant2,1966,0,50,0.0
Juan Garay Gardeazábal,2,1,1,0,0,assistant1/referee,1962,1,50,0.0
Julio Bascuñán,2,1,0,1,-2,avar3/fourth_official,2018/2022,0,50,-1.0
Konstantin Zečević,2,1,1,0,0,assistant2/referee,1966,1,50,0.0
Lim Kee Chong,2,1,0,1,4,fourth_official,1994/1998,0,50,2.0
Luc Matthys,2,1,0,1,0,assistant2,1994,0,50,0.0
Mahmoud Mustafa Kamel,2,1,1,0,-1,assistant1/assistant2,1974,0,50,-0.5
Massimo Busacca,2,1,0,1,1,fourth_official/referee,2006,1,50,0.5
Morgan,2,1,0,1,0,assistant1,1962,0,50,0.0
Neji Jouini,2,1,0,1,1,assistant1/referee,1990/1994,1,50,0.5
Norbert Hauata,2,1,0,1,3,fourth_official,2014/2018,0,50,1.5
Pierluigi Collina,2,1,0,1,3,fourth_official/referee,1998/2002,1,50,1.5
Pierluigi Pairetto,2,1,0,1,-2,assistant2/referee,1990/1994,1,50,-1.0
Pol van Boekel,2,1,0,1,6,var,2022,0,50,3.0
Rafael Ilyasov,2,1,0,1,-1,assistant1,2010,0,50,-0.5
Sten Ahlner,2,1,0,1,0,assistant2/referee,1958,1,50,0.0
Bobby Davidson,2,0,0,2,-1,assistant1/referee,1974,1,0,-0.5
Clive Thomas,2,0,1,1,-2,assistant1/referee,1974,1,0,-1.0
Jack Taylor,2,0,1,1,-1,assistant2/referee,1974,1,0,-0.5
Károly Palotai,2,0,1,1,0,assistant1/referee,1978/1982,1,0,0.0
Pavel Kazakov,2,0,1,1,1,assistant2/referee,1974,1,0,0.5
Reginald Leafe,2,0,0,2,0,assistant1/referee,1958,1,0,0.0
Adam Kupsik,1,1,0,0,0,assistant2,2026,0,100,0.0
Ahmed Hossam Taha,1,1,0,0,0,assistant2,2026,0,100,0.0
Alberto Warnken,1,1,0,0,0,assistant2,1930,0,100,0.0
