official,matches,roles,years
Alessandro Giallatini,4,assistant2/avar2,2022
Paweł Sokolnicki,4,assistant1/avar2,2018/2022
Massimiliano Irrati,4,avar3/var,2018/2022
Szymon Marciniak,4,referee,2018/2022/2026
Tomasz Listkiewicz,4,assistant1/assistant2,2018/2022/2026
Ulises Saucedo,4,assistant1/assistant2/referee,1930
Berny Ulloa Morera,4,assistant1/assistant2/referee,1986/1990
Daniele Orsato,3,referee/var,2018/2022
Paweł Gil,3,avar1,2018
Jerome Damon,3,fourth_official,2010
Drew Fischer,3,avar1/fourth_official/referee,2022/2026
John Langenus,3,referee,1930
Ravshan Irmatov,3,referee,2010/2018
Carlos Silva Valente,3,assistant1/referee,1986/1990
Renato Faverani,3,assistant1,2014
Juan Soto,3,avar1/avar3,2022
Joaquim Campos,3,assistant1/referee,1958/1966
Marco Di Bello,3,avar2/var,2026
Michał Listkiewicz,3,assistant1/assistant2,1990
Michel Vautrot,3,assistant1/referee,1982/1990
Nicola Rizzoli,3,referee,2014
Nicolae Rainea,3,assistant2/referee,1974/1982
Youssou N'Diaye,3,assistant1/assistant2,1974/1978
Paolo Valeri,3,avar1/avar3,2018/2022
Tatiana Guzmán,3,avar2,2026
Tomasz Kwiatkowski,3,var,2022/2026
Andrea Stefani,3,assistant2,2014
Bastian Dankert,3,avar1,2018/2022
Belaïd Lacarne,3,assistant2/referee,1982
Constantin Rădulescu,2,assistant2,1930
Frank De Bleeckere,2,referee,2006/2010
Pierluigi Collina,2,fourth_official/referee,1998/2002
Pierluigi Pairetto,2,assistant2/referee,1990/1994
Pol van Boekel,2,var,2022
Rafael Ilyasov,2,assistant1,2010
Alejandro Hernández Hernández,2,fourth_official/var,2022/2026
Erich Linemayr,2,assistant1/assistant2,1978
Erik Fredriksson,2,assistant1/referee,1986/1990
Cüneyt Çakır,2,referee,2014/2018
István Kovács,2,fourth_official/referee,2022/2026
Juan Garay Gardeazábal,2,assistant1/referee,1962
Juan Lara,2,avar1,2026
Ismail Elfath,2,fourth_official/referee,2022/2026
Julio Bascuñán,2,avar3/fourth_official,2018/2022
Jérôme Brisard,2,avar3/var,2022/2026
Kathryn Nesbitt,2,avar2,2022
Khalil Al Ghamdi,2,fourth_official,2006/2010
Konstantin Zečević,2,assistant2/referee,1966
Kyle Atkins,2,assistant2/avar2,2022/2026
Károly Palotai,2,assistant1/referee,1978/1982
Lim Kee Chong,2,fourth_official,1994/1998
Luc Matthys,2,assistant2,1994
Mahmoud Mustafa Kamel,2,assistant1/assistant2,1974
Roberto Díaz Pérez del Palomar,2,assistant2/avar2,2022
Mario van der Ende,2,fourth_official/referee,1994/1998
Roberto Rosetti,2,referee,2006/2010
Massimo Busacca,2,fourth_official/referee,2006
István Zsolt,2,assistant2,1966
Romualdo Arppi Filho,2,assistant2/referee,1986
Morgan,2,assistant1,1962
Neji Jouini,2,assistant1/referee,1990/1994
Reginald Leafe,2,assistant1/referee,1958
Rune Pedersen,2,fourth_official/referee,1998
Norbert Hauata,2,fourth_official,2014/2018
Danny Makkelie,2,avar3/referee,2018/2022
Jack Taylor,2,assistant2/referee,1974
Sergio Gonella,2,assistant2/referee,1978
Sten Ahlner,2,assistant2/referee,1958
Svein Oddvar Moen,2,fourth_official,2014
Heiner Müller,2,assistant1/assistant2,2002
Tarık Ongun,2,assistant2,2014/2018
Helge,2,assistant1/assistant2,1958
Henri Christophe,2,assistant1,1930
Jonas Eriksson,2,fourth_official/referee,2014
Walter Vromans,2,assistant2,2006/2010
Ciro Carbone,2,assistant1,2022
Antonio Márquez Ramírez,2,assistant2/referee,1986
Arturo Yamasaki Maldonado,2,assistant1/referee,1962/1966
Bahattin Duran,2,assistant1,2014/2018
Bakhadyr Kochkarov,2,assistant2,2010
Pavel Kazakov,2,assistant2/referee,1974
Clive Thomas,2,assistant1/referee,1974
Peter Hermans,2,assistant1,2006/2010
Bobby Davidson,2,assistant1/referee,1974
Bram Van Driessche,2,avar2/var,2026
Dennis Higler,1,avar1,2026
Dimitar Rumenchev,1,referee,1966
Djamel Haimoudi,1,fourth_official,2014
Domenico Ramicone,1,assistant1,1994
Eddie Foley,1,assistant2,1998
Edgardo Codesal,1,referee,1990
El Jilali Rharib,1,assistant2,1994
Elias Salinas Rostran,1,assistant2,1998
Epifanio González,1,fourth_official,1998
Espen Eskås,1,fourth_official,2026
Essam Abd El Fatah,1,fourth_official,2006
Eugen Braun,1,referee,1934
Fedayi San,1,avar1,2026
Felix Zwayer,1,var,2018
Ferdinand Biwersi,1,assistant1,1978
Ferencz Tunyogi,1,assistant2,2026
Fernando Guerrero,1,avar3,2022
Francesco Buragina,1,assistant1,2006
Francis Rion,1,assistant1,1978
François Letexier,1,referee,2026
Fritz Seipelt,1,assistant2,1958
Frédéric Arnault,1,assistant1,2002
Gabriel González,1,assistant1,1986
Gaspar Vallejo,1,assistant1,1930
Gastón Castro,1,assistant1,1982
Gennaro Mazzei,1,assistant2,1998
George Courtney,1,assistant2,1986
Gery Vargas,1,avar3,2018
Gilberto Aristizábal,1,assistant2,1982
Gilberto de Almeida Rêgo,1,referee,1930
Gilles Veissière,1,referee,2002
Gottfried Dienst,1,assistant1,1966
Gualberto Alonso,1,assistant1,1930
Guillermo Pacheco,1,var,2026
Halim Abdul Hamid,1,assistant1,1998
Heinz Aldinger,1,assistant2,1974
Hessel Steegstra,1,assistant1,2022
Héctor Vergara,1,assistant1,2002
Ivan Bebek,1,avar1,2026
Jafar Namdar,1,assistant1,1978
Jakhongir Saidov,1,assistant2,2018
Jamal Al Sharif,1,assistant2,1990
Jan Dolstra,1,assistant2,1994
Jan Keizer,1,referee,1986
Jan de Vries,1,assistant2,2022
Jan-Hendrik Salver,1,assistant1,2010
Jean Dubach,1,referee,1978
Jesús Díaz,1,assistant2,1986
Joe Fletcher,1,avar2,2018
Joel Aguilar,1,referee,2014
José Luis Martínez Bazán,1,assistant1,1986
José Roberto Wright,1,assistant1,1990
João Pinheiro,1,referee,2026
Joël Quiniou,1,referee,1990
Alessandro Stagnoli,1,assistant2,2006
Alexey Spirin,1,assistant1,1990
Alfonso González Archundía,1,assistant2,1978
Juan Zumba,1,assistant2,2014
Ali Bin Nasser,1,referee,1986
Ali Bujsaim,1,referee,2002
Alireza Faghani,1,referee,2018
Katia García,1,fourth_official,2026
Alojzy Jarguz,1,assistant2,1982
Khamis Al-Marri,1,var,2026
Kim Milton Nielsen,1,referee,1998
Amin Omar,1,referee,2026
Kurt Röthlisberger,1,referee,1990
Kurt Tschenscher,1,assistant1,1974
Peter O'Leary,1,fourth_official,2010
Campbell-Kirk Kawana-Waugh,1,fourth_official,2026
Leslie Mottram,1,fourth_official,1994
Saíd Martínez,1,fourth_official,2022
Armando Villarreal,1,var,2026
Luciano Maia,1,assistant2,2026
Luigi Agnolin,1,referee,1986
Luis Barrancos,1,referee,1982
Luis Medina Cantalejo,1,referee,2006
Lyes Arfa,1,assistant2,2026
Maguette Ndiaye,1,fourth_official,2022
Mahmoud Abouregal,1,assistant1,2026
Mahmoud Ashour,1,avar1,2026
Ľuboš Micheľ,1,referee,2006
Marc Van den Broeck,1,assistant1,1998
Abdelhak Etchiali,1,avar2,2022
Marco Fritz,1,avar1,2022
Mario Escobar,1,fourth_official,2022
Mario Rubio Vázquez,1,referee,1982
Abdukhamidullo Rasulov,1,assistant1,2018
Mark Geiger,1,var,2018
Markus Merk,1,fourth_official,2002
Martin Balko,1,assistant2,2006
Abraham Klein,1,referee,1978
Pau Cebrián Devís,1,assistant1,2022
Mathias Klasenius,1,assistant1,2014
Matthias Arnet,1,assistant2,2006
Maurizio Mariani,1,fourth_official,2026
Mehdi Rahmouni,1,assistant2,2026
Michael Ragoonath,1,assistant2,2002
Pedro Medina Hernández,1,assistant2,2006
Micheal Barwegen,1,assistant1,2026
Peter Mikkelsen,1,assistant2,1990
Mihai Marius Marica,1,assistant1,2026
Mikael Erik Everstig,1,assistant1,1994
Mikael Nilsson,1,assistant1,1998
Mike Pickel,1,assistant2,2010
Milorad Mažić,1,referee,2014
Milovan Ristić,1,assistant1,2014
Mohamed Al Musawi,1,assistant2,1998
Mohamed Hansal,1,assistant2,1990
Mohamed Mansri,1,assistant2,1998
Mohamed Saeed,1,assistant2,2002
Mohammadreza Mansouri,1,assistant2,2018
Mohammed Abdulla Hassan Mohamed,1,fourth_official,2022
Mohammed Khadim,1,avar2,2026
Alberto Warnken,1,assistant2,1930
Peter Prendergast,1,fourth_official,2002
Ramón Barreto Ruíz,1,assistant1,1978
Reginato,1,assistant2,1962
Nikolay Latyshev,1,referee,1962
Reza Sokhandan,1,assistant1,2018
Owen Powell,1,assistant1,1998
Ricardo de Burgos Bengoetxea,1,avar3,2022
Paolo Calcagno,1,assistant1,2010
Robert Wurtz,1,referee,1978
Park Hae-young,1,assistant1,1994
Pat Partridge,1,assistant1,1978
Roman Slysko,1,assistant1,2006
Slavko Vinčić,1,referee,2022
Stefano Ayroldi,1,assistant2,2010
Rudi Glöckner,1,assistant1,1974
Rudolf Kreitlein,1,referee,1966
Ryszard Wójcik,1,fourth_official,1998
Tapio Yli-Karro,1,assistant1,1994
Adam Kupsik,1,assistant2,2026
Rómulo Méndez,1,assistant2,1986
Tesfaye,1,assistant2,1978
Tofiq Bahramov,1,assistant1,1966
Said Belqola,1,referee,1998
Adolf Prokop,1,assistant2,1978
Tomaž Klančnik,1,assistant1,2022
Turbiani,1,assistant2,1934
Ulf Eriksson,1,referee,1978
Carlo Longhi,1,assistant2,1990
Victor Gomes,1,fourth_official,2022
Victoriano Giráldez Carrasco,1,assistant1,2006
Victoriano Sánchez Arminio,1,referee,1986
Vincent Mauro,1,assistant1,1990
Vital Loraux,1,referee,1974
Vojtěch Christov,1,referee,1982
Carlos Astroza,1,avar2,2018
Werner Winsemann,1,assistant2,1978
William Torres,1,assistant1,2014
Willy Delajod,1,avar1,2026
Wilmar Roldán,1,fourth_official,2018
Wolfgang Stark,1,referee,2010
Pablo Sánchez Ibáñez,1,referee,1974
Éric Poulat,1,fourth_official,2006
Alan Snoddy,1,assistant1,1986
Andraž Kovačič,1,assistant2,2022
Carlos Chandía,1,fourth_official,2006
Antonio Mateu Lahoz,1,referee,2022
Carlos Vera,1,fourth_official,2014
António Garrido,1,referee,1978
Aristidis Chris Soldatos,1,assistant1,1998
Armando Pérez Hoyos,1,assistant1,1990
Ahmed Hossam Taha,1,assistant2,2026
Arthur Edward Ellis,1,referee,1958
Arturo Angeles,1,referee,1994
Arturo Brizio Carter,1,referee,1998
Corey Parker,1,assistant1,2026
Augusto Lamo Castillo,1,assistant1,1982
Corey Rockwell,1,avar2,2018
Cristiano Copelli,1,assistant1,2006
Cyril Mugnier,1,assistant1,2026
César Guerrero Orosco,1,assistant1,1978
Ben Williams,1,fourth_official,2014
Benoît Millot,1,avar3,2022
Dahane Beida,1,fourth_official,2026
Bertil Lööw,1,assistant2,1966
Björn Kuipers,1,fourth_official,2018
Bo Karlsson,1,referee,1994
Dalibor Đurđević,1,assistant2,2014
Bogdan Dotchev,1,assistant1,1986
Daniel Wärnmark,1,assistant2,2014
Brian Hall,1,fourth_official,2002
Bruno Galler,1,assistant1,1982
Bruno Jesus,1,assistant1,2026
Buergo,1,assistant2,1962
Bulnes,1,assistant2,1962
Albino Carraro,1,assistant1,1934
