era,team,matches,uefa,conmebol,concacaf,afc,caf,ofc
all-time,Argentina,95,74.7,5.3,9.5,5.3,5.3,0.0
all-time,Brazil,119,71.2,5.1,12.7,5.9,5.1,0.0
all-time,Uruguay,62,75.8,4.8,11.3,6.5,1.6,0.0
all-time,Chile,33,51.5,15.2,9.1,6.1,18.2,0.0
all-time,Colombia,27,63.0,7.4,18.5,7.4,3.7,0.0
all-time,Paraguay,32,40.6,6.2,18.8,18.8,15.6,0.0
all-time,Peru,18,72.2,5.6,11.1,5.6,5.6,0.0
all-time,Ecuador,17,31.2,0.0,18.8,25.0,25.0,0.0
all-time,— field (all matches),1066,54.3,19.5,9.9,8.8,6.7,0.8
since 1990,Argentina,54,74.1,0.0,11.1,9.3,5.6,0.0
since 1990,Brazil,57,55.4,1.8,21.4,10.7,10.7,0.0
since 1990,Uruguay,29,62.1,3.4,17.2,13.8,3.4,0.0
since 1990,Chile,12,33.3,0.0,16.7,8.3,41.7,0.0
since 1990,Colombia,24,66.7,0.0,20.8,8.3,4.2,0.0
since 1990,Paraguay,21,28.6,0.0,28.6,23.8,19.0,0.0
since 1990,Ecuador,17,31.2,0.0,18.8,25.0,25.0,0.0
since 1990,— field (all matches),654,42.5,21.2,13.5,12.4,8.9,1.4
