tournament_year,confederation,n
1930,CONCACAF,1
1930,CONMEBOL,10
1930,UEFA,4
1934,CAF,1
1934,UEFA,23
1938,UEFA,25
1950,CONCACAF,2
1950,CONMEBOL,8
1950,UEFA,17
1954,CONMEBOL,2
1954,UEFA,24
1958,CONMEBOL,2
1958,UEFA,28
1962,AFC,1
1962,CONCACAF,3
1962,CONMEBOL,13
1962,UEFA,15
1966,AFC,1
1966,CAF,1
1966,CONMEBOL,5
1966,UEFA,24
1970,AFC,1
1970,CAF,2
1970,CONCACAF,6
1970,CONMEBOL,6
1970,UEFA,17
1974,AFC,3
1974,CAF,2
1974,CONCACAF,2
1974,CONMEBOL,6
1974,UEFA,21
1978,AFC,2
1978,CAF,4
1978,CONCACAF,2
1978,CONMEBOL,8
1978,UEFA,20
1982,AFC,4
1982,CAF,3
1982,CONCACAF,4
1982,CONMEBOL,8
1982,UEFA,26
1986,AFC,4
1986,CAF,3
1986,CONCACAF,6
1986,CONMEBOL,6
1986,UEFA,19
1990,AFC,3
1990,CAF,3
1990,CONCACAF,3
1990,CONMEBOL,7
1990,OFC,1
1990,UEFA,24
1994,AFC,5
1994,CAF,4
1994,CONCACAF,5
1994,CONMEBOL,8
1994,OFC,2
1994,UEFA,22
1998,AFC,9
1998,CAF,9
1998,CONCACAF,7
1998,CONMEBOL,11
1998,OFC,2
1998,UEFA,29
2002,AFC,12
2002,CAF,10
2002,CONCACAF,9
2002,CONMEBOL,10
2002,OFC,3
2002,UEFA,28
2006,AFC,12
2006,CAF,12
2006,CONCACAF,12
2006,CONMEBOL,18
2006,UEFA,30
2010,AFC,12
2010,CAF,10
2010,CONCACAF,12
2010,CONMEBOL,19
2010,OFC,6
2010,UEFA,30
2014,AFC,14
2014,CAF,13
2014,CONCACAF,13
2014,CONMEBOL,17
2014,OFC,5
2014,UEFA,29
2018,AFC,20
2018,CAF,16
2018,CONCACAF,14
2018,CONMEBOL,21
2018,OFC,5
2018,UEFA,39
2022,AFC,19
2022,CAF,18
2022,CONCACAF,20
2022,CONMEBOL,27
2022,OFC,3
2022,UEFA,42
2026,AFC,25
2026,CAF,20
2026,CONCACAF,29
2026,CONMEBOL,39
2026,OFC,2
2026,UEFA,56
