year,date,opponent,score,net_swing,margin,decisive
2022,2022-11-22,Saudi Arabia,1–2,-0.22,-1,
2022,2022-11-26,Mexico,2–0,0.0,2,
2022,2022-11-30,Poland,2–0,0.78,2,
2022,2022-12-03,Australia,2–1,0.0,1,
2022,2022-12-09,Netherlands,2–2,1.28,0,yes
2022,2022-12-13,Croatia,3–0,0.78,3,
2022,2022-12-18,France,3–3,-0.78,0,
2026,2026-06-16,Algeria,3–0,1.0,3,
2026,2026-06-22,Austria,2–0,0.78,2,
2026,2026-06-27,Jordan,3–1,0.78,2,
2026,2026-07-03,Cape Verde,3–2,0.0,1,
2026,2026-07-07,Egypt,3–2,1.78,1,yes
2026,2026-07-11,Switzerland,3–1,0.5,2,
2026,2026-07-15,England,2–1,0.0,1,
