team,pre_matches,post_matches,card_net_pre,card_net_post,card_net_change,pen_net_pre,pen_net_post,pen_net_change
Ghana,12,3,-1.25,0.3333333333333333,1.5833333333333333,0.16666666666666666,-0.3333333333333333,-0.5
Ecuador,10,3,-0.9,0.6666666666666666,1.5666666666666667,0.0,0.0,0.0
Portugal,21,5,-0.09523809523809523,1.4,1.4952380952380953,0.0,0.4,0.4
Argentina,40,7,0.05,1.2857142857142858,1.2357142857142858,-0.025,0.2857142857142857,0.3107142857142857
Croatia,23,7,-0.6086956521739131,0.42857142857142855,1.0372670807453417,-0.13043478260869565,-0.14285714285714285,-0.0124223602484472
England,35,5,0.5428571428571428,1.4,0.8571428571428571,0.08571428571428572,0.0,-0.08571428571428572
Spain,35,4,1.0,1.75,0.75,0.2,0.25,0.04999999999999999
Tunisia,12,3,-1.5,-1.0,0.5,-0.16666666666666666,0.0,0.16666666666666666
Morocco,9,7,-0.7777777777777778,-0.2857142857142857,0.4920634920634921,-0.1111111111111111,0.0,0.1111111111111111
Brazil,47,5,0.723404255319149,1.2,0.476595744680851,0.02127659574468085,0.2,0.17872340425531916
Mexico,28,3,-0.10714285714285714,0.3333333333333333,0.44047619047619047,0.07142857142857142,0.0,-0.07142857142857142
France,32,7,0.5625,1.0,0.4375,0.09375,-0.14285714285714285,-0.23660714285714285
Denmark,16,3,-0.625,-0.3333333333333333,0.2916666666666667,0.0,0.0,0.0
Poland,9,4,-0.3333333333333333,-0.25,0.08333333333333331,0.0,0.25,0.25
United States,26,4,0.4230769230769231,0.5,0.07692307692307693,-0.038461538461538464,-0.25,-0.21153846153846154
Netherlands,34,5,0.0,-0.2,-0.2,-0.058823529411764705,-0.2,-0.1411764705882353
Senegal,8,4,-0.5,-0.75,-0.25,-0.125,0.25,0.375
Cameroon,20,3,-0.3,-0.6666666666666666,-0.36666666666666664,-0.05,0.0,0.05
Switzerland,19,4,0.3684210526315789,0.0,-0.3684210526315789,-0.05263157894736842,0.0,0.05263157894736842
South Korea,29,4,-0.3793103448275862,-0.75,-0.3706896551724138,-0.10344827586206896,-0.25,-0.14655172413793105
Japan,21,4,0.19047619047619047,-0.25,-0.44047619047619047,0.0,-0.25,-0.25
Germany,41,3,0.12195121951219512,-0.3333333333333333,-0.45528455284552843,0.04878048780487805,0.3333333333333333,0.2845528455284553
Australia,13,4,-0.07692307692307693,-0.75,-0.6730769230769231,0.07692307692307693,0.0,-0.07692307692307693
Costa Rica,18,3,0.05555555555555555,-1.0,-1.0555555555555556,-0.05555555555555555,-0.3333333333333333,-0.2777777777777778
Uruguay,23,3,0.391304347826087,-0.6666666666666666,-1.0579710144927537,0.08695652173913043,-0.3333333333333333,-0.42028985507246375
Belgium,27,3,0.5185185185185185,-0.6666666666666666,-1.1851851851851851,-0.07407407407407407,0.0,0.07407407407407407
Iran,12,3,-0.25,-1.6666666666666667,-1.4166666666666667,0.0,0.3333333333333333,0.3333333333333333
Saudi Arabia,16,3,0.625,-3.3333333333333335,-3.9583333333333335,0.1875,-0.3333333333333333,-0.5208333333333333
