year,arg_group,arg_opp_elo_mean,tournament_mean,diff_vs_mean,rank_among_seeds,arg_is_top_elo_seed,pctl_vs_all_teams
1930,Group 1,1578.3,1673.8,-95.4,2/4,True,15.4
1958,Group 1,1851.7,1880.6,-28.9,3/4,True,25.0
1962,Group 4,1884.7,1878.8,5.9,2/4,True,43.8
1966,Group 2,1836.7,1878.5,-41.8,2/4,True,12.5
1974,Group 4,1856.7,1872.1,-15.5,1/4,False,50.0
1978,Group 1,1911.7,1902.1,9.6,1/4,False,50.0
1982,Group 3,1773.3,1836.5,-63.2,5/6,True,12.5
1986,Group A,1780.3,1826.0,-45.6,6/6,False,20.8
1990,Group B,1822.3,1823.9,-1.6,2/6,False,45.8
1994,Group D,1731.7,1822.4,-90.7,5/6,True,4.2
1998,Group H,1754.3,1819.8,-65.5,6/8,False,9.4
2002,Group F,1851.3,1820.2,31.2,3/8,True,68.8
2006,Group C,1853.3,1805.8,47.6,1/8,True,71.9
2010,Group B,1737.7,1794.5,-56.8,4/8,True,15.6
2014,Group F,1742.3,1841.0,-98.6,8/8,True,6.2
2018,Group D,1766.0,1827.4,-61.4,6/8,True,21.9
2022,Group C,1752.3,1850.5,-98.2,7/8,True,3.1
2026,J,1760.7,1784.5,-23.8,5/12,True,35.4
