year,team,group,n_opps,opp_elo_mean,own_elo
1930,France,Group 1,3,1753.6666666666667,1547
1930,Mexico,Group 1,3,1731.6666666666667,1613
1930,Argentina,Group 1,3,1578.3333333333333,2073
1930,Chile,Group 1,3,1744.3333333333333,1575
1930,Yugoslavia,Group 2,2,1590.5,1590
1930,Brazil,Group 2,2,1424.0,1923
1930,Bolivia,Group 2,2,1756.5,1258
1930,Romania,Group 3,2,1754.5,1561
1930,Peru,Group 3,2,1764.5,1541
1930,Uruguay,Group 3,2,1551.0,1968
1930,United States,Group 4,2,1719.0,1672
1930,Belgium,Group 4,2,1724.5,1661
1930,Paraguay,Group 4,2,1666.5,1777
1950,Brazil,Group 1,3,1789.0,1967
1950,Mexico,Group 1,3,1832.0,1838
1950,Yugoslavia,Group 1,3,1837.3333333333333,1822
1950,Switzerland,Group 1,3,1875.6666666666667,1707
1950,England,Group 2,3,1694.3333333333333,2067
1950,Chile,Group 2,3,1850.3333333333333,1599
1950,Spain,Group 2,3,1750.3333333333333,1899
1950,United States,Group 2,3,1855.0,1585
1950,Sweden,Group 3,2,1925.0,1972
1950,Italy,Group 3,2,1924.5,1973
1950,Paraguay,Group 3,2,1972.5,1877
1950,Uruguay,Group 4,1,1445.0,1737
1950,Bolivia,Group 4,1,1737.0,1445
1954,Brazil,Group 1,3,1803.0,2031
1954,Mexico,Group 1,3,1913.0,1701
1954,Yugoslavia,Group 1,3,1835.3333333333333,1934
1954,France,Group 1,3,1888.6666666666667,1774
1954,Hungary,Group 2,3,1740.3333333333333,2146
1954,South Korea,Group 2,3,1904.3333333333333,1654
1954,West Germany,Group 2,3,1806.0,1949
1954,Turkey,Group 2,3,1916.3333333333333,1618
1954,Austria,Group 3,3,1840.6666666666667,1866
1954,Scotland,Group 3,3,1830.6666666666667,1896
1954,Uruguay,Group 3,3,1837.0,1877
1954,Czechoslovakia,Group 3,3,1879.6666666666667,1749
1954,Switzerland,Group 4,3,1895.6666666666667,1673
1954,Italy,Group 4,3,1822.3333333333333,1893
1954,England,Group 4,3,1780.3333333333333,2019
1954,Belgium,Group 4,3,1861.6666666666667,1775
1958,Argentina,Group 1,3,1851.6666666666667,2043
1958,West Germany,Group 1,3,1890.6666666666667,1926
1958,Northern Ireland,Group 1,3,1954.3333333333333,1735
1958,Czechoslovakia,Group 1,3,1901.3333333333333,1894
1958,France,Group 2,3,1831.6666666666667,1839
1958,Paraguay,Group 2,3,1861.0,1751
