year,team,stage,opp,opp_elo
1930,Argentina,semi-finals,United States,1672
1930,United States,semi-finals,Argentina,2073
1930,Uruguay,semi-finals,Yugoslavia,1590
1930,Yugoslavia,semi-finals,Uruguay,1968
1930,Uruguay,final,Argentina,2073
1930,Argentina,final,Uruguay,1968
1934,Austria,round of 16,France,1626
1934,France,round of 16,Austria,2050
1934,Czechoslovakia,round of 16,Romania,1639
1934,Romania,round of 16,Czechoslovakia,1847
1934,Germany,round of 16,Belgium,1549
1934,Belgium,round of 16,Germany,1799
1934,Hungary,round of 16,Egypt,1707
1934,Egypt,round of 16,Hungary,1829
1934,Italy,round of 16,United States,1778
1934,United States,round of 16,Italy,1975
1934,Spain,round of 16,Brazil,1934
1934,Brazil,round of 16,Spain,1936
1934,Sweden,round of 16,Argentina,2062
1934,Argentina,round of 16,Sweden,1731
1934,Switzerland,round of 16,Netherlands,1707
1934,Netherlands,round of 16,Switzerland,1615
1934,Austria,quarter-finals,Hungary,1829
1934,Hungary,quarter-finals,Austria,2050
1934,Czechoslovakia,quarter-finals,Switzerland,1615
1934,Switzerland,quarter-finals,Czechoslovakia,1847
1934,Germany,quarter-finals,Sweden,1731
1934,Sweden,quarter-finals,Germany,1799
1934,Italy,quarter-finals,Spain,1936
1934,Spain,quarter-finals,Italy,1975
1934,Italy,quarter-finals,Spain,1936
1934,Spain,quarter-finals,Italy,1975
1934,Czechoslovakia,semi-finals,Germany,1799
1934,Germany,semi-finals,Czechoslovakia,1847
1934,Italy,semi-finals,Austria,2050
1934,Austria,semi-finals,Italy,1975
1934,Germany,third place,Austria,2050
1934,Austria,third place,Germany,1799
1934,Italy,final,Czechoslovakia,1847
1934,Czechoslovakia,final,Italy,1975
1938,Switzerland,round of 16,Germany,1830
1938,Germany,round of 16,Switzerland,1670
1938,Cuba,round of 16,Romania,1557
1938,Romania,round of 16,Cuba,1543
1938,France,round of 16,Belgium,1567
1938,Belgium,round of 16,France,1630
1938,Hungary,round of 16,Dutch East Indies,1468
1938,Dutch East Indies,round of 16,Hungary,1929
1938,Italy,round of 16,Norway,1731
1938,Norway,round of 16,Italy,2053
1938,Brazil,round of 16,Poland,1629
1938,Poland,round of 16,Brazil,1904
1938,Czechoslovakia,round of 16,Netherlands,1706
1938,Netherlands,round of 16,Czechoslovakia,1822
1938,Cuba,round of 16,Romania,1557
1938,Romania,round of 16,Cuba,1543
1938,Switzerland,round of 16,Germany,1830
1938,Germany,round of 16,Switzerland,1670
1938,Brazil,quarter-finals,Czechoslovakia,1822
1938,Czechoslovakia,quarter-finals,Brazil,1904
1938,Hungary,quarter-finals,Switzerland,1670
1938,Switzerland,quarter-finals,Hungary,1929
1938,Italy,quarter-finals,France,1630
1938,France,quarter-finals,Italy,2053
1938,Sweden,quarter-finals,Cuba,1543
1938,Cuba,quarter-finals,Sweden,1652
1938,Brazil,quarter-finals,Czechoslovakia,1822
1938,Czechoslovakia,quarter-finals,Brazil,1904
1938,Hungary,semi-finals,Sweden,1652
1938,Sweden,semi-finals,Hungary,1929
1938,Italy,semi-finals,Brazil,1904
1938,Brazil,semi-finals,Italy,2053
1938,Brazil,third place,Sweden,1652
1938,Sweden,third place,Brazil,1904
1938,Italy,final,Hungary,1929
1938,Hungary,final,Italy,2053
1954,Austria,quarter-finals,Switzerland,1673
1954,Switzerland,quarter-finals,Austria,1866
1954,Uruguay,quarter-finals,England,2019
1954,England,quarter-finals,Uruguay,1877
1954,Hungary,quarter-finals,Brazil,2031
1954,Brazil,quarter-finals,Hungary,2146
1954,West Germany,quarter-finals,Yugoslavia,1934
1954,Yugoslavia,quarter-finals,West Germany,1949
1954,Hungary,semi-finals,Uruguay,1877
1954,Uruguay,semi-finals,Hungary,2146
1954,West Germany,semi-finals,Austria,1866
1954,Austria,semi-finals,West Germany,1949
1954,Austria,third place,Uruguay,1877
1954,Uruguay,third place,Austria,1866
1954,West Germany,final,Hungary,2146
1954,Hungary,final,West Germany,1949
1958,Brazil,quarter-finals,Wales,1713
1958,Wales,quarter-finals,Brazil,1976
1958,France,quarter-finals,Northern Ireland,1735
1958,Northern Ireland,quarter-finals,France,1839
1958,Sweden,quarter-finals,Soviet Union,1888
1958,Soviet Union,quarter-finals,Sweden,1803
1958,West Germany,quarter-finals,Yugoslavia,1917
1958,Yugoslavia,quarter-finals,West Germany,1926
1958,Brazil,semi-finals,France,1839
1958,France,semi-finals,Brazil,1976
1958,Sweden,semi-finals,West Germany,1926
1958,West Germany,semi-finals,Sweden,1803
1958,France,third place,West Germany,1926
1958,West Germany,third place,France,1839
1958,Brazil,final,Sweden,1803
1958,Sweden,final,Brazil,1976
1962,Brazil,quarter-finals,England,1939
1962,England,quarter-finals,Brazil,2103
1962,Chile,quarter-finals,Soviet Union,2028
1962,Soviet Union,quarter-finals,Chile,1740
1962,Czechoslovakia,quarter-finals,Hungary,1939
1962,Hungary,quarter-finals,Czechoslovakia,1977
1962,Yugoslavia,quarter-finals,West Germany,1900
1962,West Germany,quarter-finals,Yugoslavia,1983
1962,Brazil,semi-finals,Chile,1740
1962,Chile,semi-finals,Brazil,2103
1962,Czechoslovakia,semi-finals,Yugoslavia,1983
1962,Yugoslavia,semi-finals,Czechoslovakia,1977
1962,Chile,third place,Yugoslavia,1983
1962,Yugoslavia,third place,Chile,1740
1962,Brazil,final,Czechoslovakia,1977
1962,Czechoslovakia,final,Brazil,2103
1966,England,quarter-finals,Argentina,1974
1966,Argentina,quarter-finals,England,1993
1966,Portugal,quarter-finals,North Korea,1778
1966,North Korea,quarter-finals,Portugal,1832
1966,Soviet Union,quarter-finals,Hungary,1955
1966,Hungary,quarter-finals,Soviet Union,2002
1966,West Germany,quarter-finals,Uruguay,1848
1966,Uruguay,quarter-finals,West Germany,1958
1966,West Germany,semi-finals,Soviet Union,2002
1966,Soviet Union,semi-finals,West Germany,1958
1966,England,semi-finals,Portugal,1832
1966,Portugal,semi-finals,England,1993
1966,Portugal,third place,Soviet Union,2002
1966,Soviet Union,third place,Portugal,1832
1966,England,final,West Germany,1958
1966,West Germany,final,England,1993
1970,Brazil,quarter-finals,Peru,1693
1970,Peru,quarter-finals,Brazil,2011
1970,Italy,quarter-finals,Mexico,1705
1970,Mexico,quarter-finals,Italy,2007
1970,Soviet Union,quarter-finals,Uruguay,1869
1970,Uruguay,quarter-finals,Soviet Union,1936
1970,West Germany,quarter-finals,England,2073
1970,England,quarter-finals,West Germany,1997
1970,Brazil,semi-finals,Uruguay,1869
1970,Uruguay,semi-finals,Brazil,2011
1970,Italy,semi-finals,West Germany,1997
1970,West Germany,semi-finals,Italy,2007
1970,West Germany,third place,Uruguay,1869
1970,Uruguay,third place,West Germany,1997
1970,Brazil,final,Italy,2007
1970,Italy,final,Brazil,2011
1974,Brazil,third place,Poland,1957
1974,Poland,third place,Brazil,2117
1974,Netherlands,final,West Germany,2112
1974,West Germany,final,Netherlands,1843
1978,Brazil,third place,Italy,1938
1978,Italy,third place,Brazil,2081
1978,Argentina,final,Netherlands,2092
1978,Netherlands,final,Argentina,1927
1982,Poland,semi-finals,Italy,1892
1982,Italy,semi-finals,Poland,1958
1982,West Germany,semi-finals,France,1880
1982,France,semi-finals,West Germany,2110
1982,Poland,third place,France,1880
1982,France,third place,Poland,1958
1982,Italy,final,West Germany,2110
1982,West Germany,final,Italy,1892
1986,Mexico,round of 16,Bulgaria,1844
1986,Bulgaria,round of 16,Mexico,1840
1986,Soviet Union,round of 16,Belgium,1823
1986,Belgium,round of 16,Soviet Union,1940
1986,Brazil,round of 16,Poland,1805
1986,Poland,round of 16,Brazil,1916
1986,Argentina,round of 16,Uruguay,1832
1986,Uruguay,round of 16,Argentina,1874
1986,Italy,round of 16,France,1995
1986,France,round of 16,Italy,1883
1986,Morocco,round of 16,West Germany,1940
1986,West Germany,round of 16,Morocco,1642
1986,England,round of 16,Paraguay,1812
1986,Paraguay,round of 16,England,1989
1986,Denmark,round of 16,Spain,1902
1986,Spain,round of 16,Denmark,1893
1986,Brazil,quarter-finals,France,1995
1986,France,quarter-finals,Brazil,1916
1986,West Germany,quarter-finals,Mexico,1840
1986,Mexico,quarter-finals,West Germany,1940
1986,Argentina,quarter-finals,England,1989
1986,England,quarter-finals,Argentina,1874
1986,Spain,quarter-finals,Belgium,1823
1986,Belgium,quarter-finals,Spain,1902
1986,France,semi-finals,West Germany,1940
1986,West Germany,semi-finals,France,1995
1986,Argentina,semi-finals,Belgium,1823
1986,Belgium,semi-finals,Argentina,1874
1986,Belgium,third place,France,1995
1986,France,third place,Belgium,1823
1986,Argentina,final,West Germany,1940
1986,West Germany,final,Argentina,1874
1990,Cameroon,round of 16,Colombia,1801
1990,Colombia,round of 16,Cameroon,1631
1990,Czechoslovakia,round of 16,Costa Rica,1611
1990,Costa Rica,round of 16,Czechoslovakia,1855
1990,Brazil,round of 16,Argentina,1794
1990,Argentina,round of 16,Brazil,1993
1990,West Germany,round of 16,Netherlands,2033
1990,Netherlands,round of 16,West Germany,1994
1990,Republic of Ireland,round of 16,Romania,1894
1990,Romania,round of 16,Republic of Ireland,1891
1990,Italy,round of 16,Uruguay,1893
1990,Uruguay,round of 16,Italy,1965
1990,Spain,round of 16,Yugoslavia,1893
1990,Yugoslavia,round of 16,Spain,1927
1990,England,round of 16,Belgium,1844
1990,Belgium,round of 16,England,1944
1990,Argentina,quarter-finals,Yugoslavia,1893
1990,Yugoslavia,quarter-finals,Argentina,1794
1990,Republic of Ireland,quarter-finals,Italy,1965
1990,Italy,quarter-finals,Republic of Ireland,1891
1990,Czechoslovakia,quarter-finals,West Germany,1994
1990,West Germany,quarter-finals,Czechoslovakia,1855
1990,Cameroon,quarter-finals,England,1944
1990,England,quarter-finals,Cameroon,1631
1990,Argentina,semi-finals,Italy,1965
1990,Italy,semi-finals,Argentina,1794
1990,West Germany,semi-finals,England,1944
1990,England,semi-finals,West Germany,1994
1990,Italy,third place,England,1944
1990,England,third place,Italy,1965
1990,West Germany,final,Argentina,1794
1990,Argentina,final,West Germany,1994
1994,Germany,round of 16,Belgium,1823
1994,Belgium,round of 16,Germany,2009
1994,Spain,round of 16,Switzerland,1873
1994,Switzerland,round of 16,Spain,1893
1994,Saudi Arabia,round of 16,Sweden,1906
1994,Sweden,round of 16,Saudi Arabia,1637
1994,Romania,round of 16,Argentina,1915
1994,Argentina,round of 16,Romania,1836
1994,Netherlands,round of 16,Republic of Ireland,1864
1994,Republic of Ireland,round of 16,Netherlands,1990
1994,Brazil,round of 16,United States,1614
1994,United States,round of 16,Brazil,1963
1994,Nigeria,round of 16,Italy,1986
1994,Italy,round of 16,Nigeria,1735
1994,Mexico,round of 16,Bulgaria,1772
1994,Bulgaria,round of 16,Mexico,1855
1994,Italy,quarter-finals,Spain,1893
1994,Spain,quarter-finals,Italy,1986
1994,Netherlands,quarter-finals,Brazil,1963
1994,Brazil,quarter-finals,Netherlands,1990
1994,Bulgaria,quarter-finals,Germany,2009
1994,Germany,quarter-finals,Bulgaria,1772
1994,Romania,quarter-finals,Sweden,1906
1994,Sweden,quarter-finals,Romania,1836
1994,Bulgaria,semi-finals,Italy,1986
1994,Italy,semi-finals,Bulgaria,1772
1994,Sweden,semi-finals,Brazil,1963
1994,Brazil,semi-finals,Sweden,1906
1994,Sweden,third place,Bulgaria,1772
1994,Bulgaria,third place,Sweden,1906
1994,Brazil,final,Italy,1986
1994,Italy,final,Brazil,1963
1998,Italy,round of 16,Norway,1902
1998,Norway,round of 16,Italy,1971
1998,Brazil,round of 16,Chile,1788
1998,Chile,round of 16,Brazil,2091
1998,France,round of 16,Paraguay,1742
1998,Paraguay,round of 16,France,2002
1998,Nigeria,round of 16,Denmark,1882
1998,Denmark,round of 16,Nigeria,1703
1998,Germany,round of 16,Mexico,1847
1998,Mexico,round of 16,Germany,2058
1998,Netherlands,round of 16,Yugoslavia,1969
1998,Yugoslavia,round of 16,Netherlands,1959
1998,Romania,round of 16,Croatia,1874
1998,Croatia,round of 16,Romania,1879
1998,Argentina,round of 16,England,1974
1998,England,round of 16,Argentina,1893
1998,Italy,quarter-finals,France,2002
1998,France,quarter-finals,Italy,1971
