era,team_name,matches,wins,draws,losses,goals_for,goals_against,yellows_received,dismissals_received,pen_goals_for,yellows_drawn,dismissals_drawn,pen_goals_against,eb_yellows_received,eb_dismissals_received,eb_yellows_drawn,eb_dismissals_drawn,eb_pen_goals_for,eb_pen_goals_against,eb_card_net,eb_pen_net,eb_card_net_rank,eb_pen_net_rank
1930-1966,Argentina,16,8,2,6,31,27,0,0,2,0,0,2,0.0,0.0,0.0,0.0,0.10763460567698355,0.10611662897580343,0.0,0.0015179767011801182,1,16
1930-1966,Austria,12,6,1,5,26,26,0,0,1,0,0,4,0.0,0.0,0.0,0.0,0.09586717204373961,0.14560594955584716,0.0,-0.04973877751210755,1,36
1930-1966,Belgium,6,0,1,5,8,20,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.08584672455872863,0.1072208033509245,0.0,-0.02137407879219587,1,34
1930-1966,Bolivia,3,0,0,3,0,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.09238443643552144,0.09427431726892507,0.0,-0.0018898808334036343,1,23
1930-1966,Brazil,32,20,5,7,84,42,0,0,1,0,0,8,0.0,0.0,0.0,0.0,0.06783297181600056,0.15897132025991406,0.0,-0.0911383484439135,1,39
1930-1966,Bulgaria,6,0,1,5,2,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08584672455872863,0.08916879497361327,0.0,-0.003322070414884637,1,29
1930-1966,Chile,15,7,1,7,22,22,0,0,2,0,0,2,0.0,0.0,0.0,0.0,0.10972894881588147,0.10776451790779926,0.0,0.0019644309080822098,1,15
1930-1966,Colombia,3,0,1,2,5,11,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.11776964831711666,0.09427431726892507,0.0,0.023495331048191584,1,8
1930-1966,Cuba,3,1,1,1,5,12,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.09238443643552144,0.09427431726892507,0.0,-0.0018898808334036343,1,23
1930-1966,Czechoslovakia,19,8,3,8,30,29,0,0,3,0,0,2,0.0,0.0,0.0,0.0,0.11985809989524707,0.10146208452946583,0.0,0.01839601536578124,1,12
1930-1966,Dutch East Indies,1,0,0,1,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0973257036530368,0.09801569578028142,0.0,-0.000689992127244618,1,17
1930-1966,Egypt,1,0,0,1,2,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0973257036530368,0.09801569578028142,0.0,-0.000689992127244618,1,17
1930-1966,England,20,8,6,6,30,24,0,0,3,0,0,1,0.0,0.0,0.0,0.0,0.1177326930055733,0.08558984337601291,0.0,0.03214284962956039,1,4
1930-1966,France,17,7,1,9,38,33,0,0,4,0,0,1,0.0,0.0,0.0,0.0,0.14307679675011858,0.08945711655821538,0.0,0.053619680191903205,1,2
1930-1966,Germany,6,3,1,2,14,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.08584672455872863,0.08916879497361327,0.0,-0.003322070414884637,1,29
1930-1966,Hungary,23,13,2,8,70,34,0,0,3,0,0,2,0.0,0.0,0.0,0.0,0.11178589797228851,0.09585609593273603,0.0,0.01592980203955248,1,13
1930-1966,Italy,20,12,2,6,38,22,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.1,0.07117968675202584,0.0,0.02882031324797417,1,6
