referee,referee_country,n_argentina_matches,arg_resid_sum,arg_resid_mean,arg_resid_sum_shootout_as_win,perm_null_mean,perm_null_sd,p_perm_onesided_pos,p_perm_twosided_centered,years,matches_detail
Szymon Marciniak,Poland,4,-0.267682,-0.066921,0.232318,-0.220781,0.213486,0.89591,0.352765,2018/2022/2026,"2018 Group vs Iceland (act 0.5, exp 0.78, resid -0.28); 2022 Round of 16 vs Australia (act 1.0, exp 0.92, resid +0.08); 2022 Final vs France (act 0.5, exp 0.69, resid -0.19, pens); 2026 Group vs Algeria (act 1.0, exp 0.88, resid +0.12)"
Nicola Rizzoli,Italy,3,0.01285,0.004283,0.01285,-0.304991,0.144671,0.032297,0.032297,2014,"2014 Group vs Nigeria (act 1.0, exp 0.84, resid +0.16); 2014 Quarter-finals vs Belgium (act 1.0, exp 0.72, resid +0.28); 2014 Final vs Germany (act 0.0, exp 0.42, resid -0.42)"
Ravshan Irmatov,Uzbekistan,3,-0.873178,-0.291059,-0.873178,0.028507,0.306322,0.993601,0.007299,2010/2018,"2010 Group vs Greece (act 1.0, exp 0.74, resid +0.26); 2010 Quarter-finals vs Germany (act 0.0, exp 0.45, resid -0.45); 2018 Group vs Croatia (act 0.0, exp 0.68, resid -0.68)"
Roberto Rosetti,Italy,2,0.798254,0.399127,0.798254,0.186716,0.247239,0.031697,0.031697,2006/2010,"2006 Group vs Serbia and Montenegro (act 1.0, exp 0.67, resid +0.33); 2010 Round of 16 vs Mexico (act 1.0, exp 0.53, resid +0.47)"
Frank De Bleeckere,Belgium,2,0.57892,0.28946,0.57892,0.213703,0.245481,0.072993,0.072993,2006/2010,"2006 Group vs Ivory Coast (act 1.0, exp 0.71, resid +0.29); 2010 Group vs South Korea (act 1.0, exp 0.71, resid +0.29)"
Daniele Orsato,Italy,2,0.349773,0.174887,0.349773,0.079456,0.233423,0.046995,0.094391,2022,"2022 Group vs Mexico (act 1.0, exp 0.87, resid +0.13); 2022 Semi-finals vs Croatia (act 1.0, exp 0.78, resid +0.22)"
Cüneyt Çakır,Turkey,2,0.101431,0.050715,0.601431,-0.036912,0.163949,0.149785,0.231077,2014/2018,"2014 Semi-finals vs Netherlands (act 0.5, exp 0.55, resid -0.05, pens); 2018 Group vs Nigeria (act 1.0, exp 0.85, resid +0.15)"
Michel Vautrot,France,2,-0.392403,-0.196202,0.107597,0.168456,0.292741,0.969803,0.085091,1990,"1990 Group vs Cameroon (act 0.0, exp 0.72, resid -0.72); 1990 Semi-finals vs Italy (act 0.5, exp 0.17, resid +0.33, pens)"
Joël Quiniou,France,1,0.758695,0.758695,0.758695,0.040987,0.416047,0.127387,0.190481,1990,"1990 Round of 16 vs Brazil (act 1.0, exp 0.24, resid +0.76)"
Erik Fredriksson,Sweden,1,0.700977,0.700977,0.700977,0.004255,0.181342,0.032497,0.064194,1990,"1990 Group vs Soviet Union (act 1.0, exp 0.30, resid +0.70)"
Said Belqola,Morocco,1,0.472684,0.472684,0.472684,0.04234,0.118506,0.045095,0.045095,1998,"1998 Group vs Croatia (act 1.0, exp 0.53, resid +0.47)"
Massimo Busacca,Switzerland,1,0.381416,0.381416,0.381416,0.11053,0.178657,0.162784,0.162784,2006,"2006 Round of 16 vs Mexico (act 1.0, exp 0.62, resid +0.38)"
Ismail Elfath,United States,1,0.371955,0.371955,0.371955,0.184283,0.284367,0.472053,0.520648,2026,"2026 Semi-finals vs England (act 1.0, exp 0.63, resid +0.37)"
Mario van der Ende,Netherlands,1,0.297817,0.297817,0.297817,-0.051255,0.305042,0.080292,0.235476,1998,"1998 Group vs Japan (act 1.0, exp 0.70, resid +0.30)"
Jonas Eriksson,Sweden,1,0.281243,0.281243,0.281243,0.054694,0.108634,0.117588,0.117588,2014,"2014 Round of 16 vs Switzerland (act 1.0, exp 0.72, resid +0.28)"
Bo Karlsson,Sweden,1,0.261891,0.261891,0.261891,-0.007402,0.135794,0.030297,0.061494,1994,"1994 Group vs Nigeria (act 1.0, exp 0.74, resid +0.26)"
Wolfgang Stark,Germany,1,0.231948,0.231948,0.231948,0.10761,0.191654,0.267773,0.267773,2010,"2010 Group vs Nigeria (act 1.0, exp 0.77, resid +0.23)"
João Pinheiro,Portugal,1,0.215946,0.215946,0.215946,0.070521,0.102372,0.284872,0.284872,2026,"2026 Quarter-finals vs Switzerland (act 1.0, exp 0.78, resid +0.22)"
Arturo Angeles,United States,1,0.213037,0.213037,0.213037,-0.006517,0.137312,0.064894,0.09639,1994,"1994 Group vs Greece (act 1.0, exp 0.79, resid +0.21)"
Joel Aguilar,El Salvador,1,0.207304,0.207304,0.207304,0.003958,0.126342,0.045495,0.087791,2014,"2014 Group vs Bosnia and Herzegovina (act 1.0, exp 0.79, resid +0.21)"
Rune Pedersen,Norway,1,0.193472,0.193472,0.193472,-0.078615,0.195055,0.050395,0.280072,1998,"1998 Group vs Jamaica (act 1.0, exp 0.81, resid +0.19)"
Gilles Veissière,France,1,0.186388,0.186388,0.186388,-0.031686,0.146795,0.039696,0.087491,2002,"2002 Group vs Nigeria (act 1.0, exp 0.81, resid +0.19)"
Amin Omar,Egypt,1,0.162385,0.162385,0.162385,0.010957,0.036403,0.028697,0.028697,2026,"2026 Group vs Austria (act 1.0, exp 0.84, resid +0.16)"
Milorad Mažić,Serbia,1,0.148779,0.148779,0.148779,-0.014582,0.167387,0.153385,0.234477,2014,"2014 Group vs Iran (act 1.0, exp 0.85, resid +0.15)"
Carlos Silva Valente,Portugal,1,0.140065,0.140065,0.140065,0.039511,0.185841,0.057194,0.086091,1990,"1990 Group vs Romania (act 0.5, exp 0.36, resid +0.14)"
Kurt Röthlisberger,Switzerland,1,0.138738,0.138738,0.638738,-0.045764,0.3563,0.29627,0.493451,1990,"1990 Quarter-finals vs Yugoslavia (act 0.5, exp 0.36, resid +0.14, pens)"
Danny Makkelie,Netherlands,1,0.13015,0.13015,0.13015,-0.020595,0.214256,0.084092,0.133287,2022,"2022 Group vs Poland (act 1.0, exp 0.87, resid +0.13)"
Kim Milton Nielsen,Denmark,1,0.114501,0.114501,0.614501,0.010605,0.167284,0.219878,0.30107,1998,"1998 Round of 16 vs England (act 0.5, exp 0.39, resid +0.11, pens)"
