era,metric,team,matches,count,rate,field_rate,direction,favorable,p,signif_fdr10
1930-1966,pen_goals_for,Argentina,16,2,0.125,0.1,high,True,0.6743897474077993,False
1930-1966,pen_goals_for,Austria,12,1,0.08333333333333333,0.1,low,False,1.0,False
1930-1966,pen_goals_for,Belgium,6,0,0.0,0.1,low,False,1.0,False
1930-1966,pen_goals_for,Bolivia,3,0,0.0,0.1,low,False,1.0,False
1930-1966,pen_goals_for,Brazil,32,1,0.03125,0.1,low,False,0.37265701741295737,False
1930-1966,pen_goals_for,Bulgaria,6,0,0.0,0.1,low,False,1.0,False
1930-1966,pen_goals_for,Chile,15,2,0.13333333333333333,0.1,high,True,0.6621530145868278,False
1930-1966,pen_goals_for,Colombia,3,1,0.3333333333333333,0.1,high,True,0.260018917153528,False
1930-1966,pen_goals_for,Cuba,3,0,0.0,0.1,low,False,1.0,False
1930-1966,pen_goals_for,Czechoslovakia,19,3,0.15789473684210525,0.1,high,True,0.4383160686520474,False
1930-1966,pen_goals_for,England,20,3,0.15,0.1,high,True,0.45177639581645684,False
1930-1966,pen_goals_for,France,17,4,0.23529411764705882,0.1,high,True,0.08891393886138121,False
1930-1966,pen_goals_for,Germany,6,0,0.0,0.1,low,False,1.0,False
1930-1966,pen_goals_for,Hungary,23,3,0.13043478260869565,0.1,high,True,0.49987730861511415,False
1930-1966,pen_goals_for,Italy,20,2,0.1,0.1,low,False,1.0,False
1930-1966,pen_goals_for,Mexico,17,3,0.17647058823529413,0.1,high,True,0.24098924256314733,False
1930-1966,pen_goals_for,North Korea,4,0,0.0,0.1,low,False,1.0,False
1930-1966,pen_goals_for,Northern Ireland,5,0,0.0,0.1,low,False,1.0,False
1930-1966,pen_goals_for,Paraguay,7,1,0.14285714285714285,0.1,high,True,0.5064827219862984,False
1930-1966,pen_goals_for,Portugal,6,4,0.6666666666666666,0.1,high,True,0.0030077749297177693,False
1930-1966,pen_goals_for,Romania,5,0,0.0,0.1,low,False,1.0,False
1930-1966,pen_goals_for,Scotland,5,0,0.0,0.1,low,False,1.0,False
1930-1966,pen_goals_for,Soviet Union,15,0,0.0,0.1,low,False,0.40547705813656,False
1930-1966,pen_goals_for,Spain,15,1,0.06666666666666667,0.1,low,False,1.0,False
1930-1966,pen_goals_for,Sweden,16,2,0.125,0.1,high,True,0.6743897474077993,False
1930-1966,pen_goals_for,Switzerland,18,0,0.0,0.1,low,False,0.26273980535595226,False
1930-1966,pen_goals_for,Turkey,3,0,0.0,0.1,low,False,1.0,False
1930-1966,pen_goals_for,United States,7,1,0.14285714285714285,0.1,high,True,0.5064827219862984,False
1930-1966,pen_goals_for,Uruguay,20,0,0.0,0.1,low,False,0.2666619320661693,False
1930-1966,pen_goals_for,Wales,5,0,0.0,0.1,low,False,1.0,False
1930-1966,pen_goals_for,West Germany,22,4,0.18181818181818182,0.1,high,True,0.2801310098962023,False
1930-1966,pen_goals_for,Yugoslavia,19,1,0.05263157894736842,0.1,low,False,1.0,False
1930-1966,pen_goals_against,Argentina,16,2,0.125,0.1,high,False,0.6743897474077993,False
1930-1966,pen_goals_against,Austria,12,4,0.3333333333333333,0.1,high,False,0.03139680400077603,False
1930-1966,pen_goals_against,Belgium,6,1,0.16666666666666666,0.1,high,False,0.4536773328989255,False
1930-1966,pen_goals_against,Bolivia,3,0,0.0,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Brazil,32,8,0.25,0.1,high,False,0.01268724129434231,False
1930-1966,pen_goals_against,Bulgaria,6,0,0.0,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Chile,15,2,0.13333333333333333,0.1,high,False,0.6621530145868278,False
1930-1966,pen_goals_against,Colombia,3,0,0.0,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Cuba,3,0,0.0,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Czechoslovakia,19,2,0.10526315789473684,0.1,high,False,0.7152340946858682,False
1930-1966,pen_goals_against,England,20,1,0.05,0.1,low,True,0.7223283043745692,False
1930-1966,pen_goals_against,France,17,1,0.058823529411764705,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Germany,6,0,0.0,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Hungary,23,2,0.08695652173913043,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Italy,20,0,0.0,0.1,low,True,0.2666619320661693,False
1930-1966,pen_goals_against,Mexico,17,2,0.11764705882352941,0.1,high,False,0.687491780610113,False
1930-1966,pen_goals_against,North Korea,4,3,0.75,0.1,high,False,0.0074973633953959425,False
1930-1966,pen_goals_against,Northern Ireland,5,1,0.2,0.1,high,False,0.3953776847923019,False
1930-1966,pen_goals_against,Paraguay,7,0,0.0,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Portugal,6,0,0.0,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Romania,5,0,0.0,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Scotland,5,0,0.0,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Soviet Union,15,2,0.13333333333333333,0.1,high,False,0.6621530145868278,False
1930-1966,pen_goals_against,Spain,15,0,0.0,0.1,low,True,0.40547705813656,False
1930-1966,pen_goals_against,Sweden,16,0,0.0,0.1,low,True,0.4098314171766367,False
1930-1966,pen_goals_against,Switzerland,18,1,0.05555555555555555,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Turkey,3,0,0.0,0.1,low,True,1.0,False
1930-1966,pen_goals_against,United States,7,0,0.0,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Uruguay,20,4,0.2,0.1,high,False,0.13814977550106594,False
1930-1966,pen_goals_against,Wales,5,0,0.0,0.1,low,True,1.0,False
1930-1966,pen_goals_against,West Germany,22,2,0.09090909090909091,0.1,low,True,1.0,False
1930-1966,pen_goals_against,Yugoslavia,19,2,0.10526315789473684,0.1,high,False,0.7152340946858682,False
1970-1986,yellows_received,Algeria,6,4,0.6666666666666666,1.0047169811320755,low,True,0.5383320915270164,False
1970-1986,yellows_received,Argentina,25,31,1.24,1.0047169811320755,high,False,0.21708277023971384,False
1970-1986,yellows_received,Australia,3,1,0.3333333333333333,1.0047169811320755,low,True,0.3825153697099284,False
1970-1986,yellows_received,Austria,11,8,0.7272727272727273,1.0047169811320755,low,True,0.445026824996651,False
1970-1986,yellows_received,Belgium,15,14,0.9333333333333333,1.0047169811320755,low,True,0.89573034336141,False
1970-1986,yellows_received,Brazil,30,22,0.7333333333333333,1.0047169811320755,low,True,0.13083218836048108,False
1970-1986,yellows_received,Bulgaria,10,6,0.6,1.0047169811320755,low,True,0.260607761847656,False
1970-1986,yellows_received,Cameroon,3,4,1.3333333333333333,1.0047169811320755,high,False,0.5519366910091574,False
1970-1986,yellows_received,Canada,3,3,1.0,1.0047169811320755,low,True,1.0,False
1970-1986,yellows_received,Chile,6,9,1.5,1.0047169811320755,high,False,0.21369935116377922,False
1970-1986,yellows_received,Czechoslovakia,6,4,0.6666666666666666,1.0047169811320755,low,True,0.5383320915270164,False
1970-1986,yellows_received,Denmark,4,5,1.25,1.0047169811320755,high,False,0.6088292944489445,False
1970-1986,yellows_received,East Germany,6,10,1.6666666666666667,1.0047169811320755,high,False,0.1008287878664394,False
1970-1986,yellows_received,El Salvador,6,9,1.5,1.0047169811320755,high,False,0.21369935116377922,False
1970-1986,yellows_received,England,14,13,0.9285714285714286,1.0047169811320755,low,True,0.8922431276180833,False
1970-1986,yellows_received,France,17,15,0.8823529411764706,1.0047169811320755,low,True,0.7109854197651263,False
1970-1986,yellows_received,Haiti,3,3,1.0,1.0047169811320755,low,True,1.0,False
1970-1986,yellows_received,Honduras,3,1,0.3333333333333333,1.0047169811320755,low,True,0.3825153697099284,False
1970-1986,yellows_received,Hungary,9,6,0.6666666666666666,1.0047169811320755,low,True,0.3990761681629833,False
1970-1986,yellows_received,Iran,3,0,0.0,1.0047169811320755,low,True,0.08225051150117224,False
1970-1986,yellows_received,Iraq,3,9,3.0,1.0047169811320755,high,False,0.003773828629123676,False
1970-1986,yellows_received,Israel,3,4,1.3333333333333333,1.0047169811320755,high,False,0.5519366910091574,False
1970-1986,yellows_received,Italy,27,34,1.2592592592592593,1.0047169811320755,high,False,0.16522646132873808,False
1970-1986,yellows_received,Kuwait,3,3,1.0,1.0047169811320755,low,True,1.0,False
1970-1986,yellows_received,Mexico,12,15,1.25,1.0047169811320755,high,False,0.3781784896534754,False
1970-1986,yellows_received,Morocco,7,5,0.7142857142857143,1.0047169811320755,low,True,0.5685315662205372,False
1970-1986,yellows_received,Netherlands,14,19,1.3571428571428572,1.0047169811320755,high,False,0.17442316070898184,False
1970-1986,yellows_received,New Zealand,3,0,0.0,1.0047169811320755,low,True,0.08225051150117224,False
1970-1986,yellows_received,Northern Ireland,8,9,1.125,1.0047169811320755,high,False,0.719203473127267,False
1970-1986,yellows_received,Paraguay,4,5,1.25,1.0047169811320755,high,False,0.6088292944489445,False
1970-1986,yellows_received,Peru,13,5,0.38461538461538464,1.0047169811320755,low,True,0.016618975822955434,False
1970-1986,yellows_received,Poland,24,23,0.9583333333333334,1.0047169811320755,low,True,0.9164857184417967,False
1970-1986,yellows_received,Portugal,3,2,0.6666666666666666,1.0047169811320755,low,True,0.7751729668495664,False
1970-1986,yellows_received,Romania,3,3,1.0,1.0047169811320755,low,True,1.0,False
1970-1986,yellows_received,Scotland,12,10,0.8333333333333334,1.0047169811320755,low,True,0.6612504937973986,False
1970-1986,yellows_received,South Korea,3,7,2.3333333333333335,1.0047169811320755,high,False,0.03368612380442822,False
1970-1986,yellows_received,Soviet Union,13,14,1.0769230769230769,1.0047169811320755,high,False,0.7775301736433908,False
1970-1986,yellows_received,Spain,13,15,1.1538461538461537,1.0047169811320755,high,False,0.5720416265405923,False
1970-1986,yellows_received,Sweden,12,9,0.75,1.0047169811320755,low,True,0.46425630853721317,False
1970-1986,yellows_received,Tunisia,3,1,0.3333333333333333,1.0047169811320755,low,True,0.3825153697099284,False
1970-1986,yellows_received,Uruguay,13,24,1.8461538461538463,1.0047169811320755,high,False,0.004520653192313883,False
1970-1986,yellows_received,West Germany,33,27,0.8181818181818182,1.0047169811320755,low,True,0.31892993600046426,False
1970-1986,yellows_received,Yugoslavia,9,13,1.4444444444444444,1.0047169811320755,high,False,0.17677634063259773,False
1970-1986,yellows_received,Zaire,3,2,0.6666666666666666,1.0047169811320755,low,True,0.7751729668495664,False
1970-1986,dismissals_received,Algeria,6,0,0.0,0.049528301886792456,low,True,1.0,False
1970-1986,dismissals_received,Argentina,25,2,0.08,0.049528301886792456,high,False,0.3536810396833958,False
1970-1986,dismissals_received,Australia,3,1,0.3333333333333333,0.049528301886792456,high,False,0.13852828217322014,False
1970-1986,dismissals_received,Austria,11,0,0.0,0.049528301886792456,low,True,1.0,False
1970-1986,dismissals_received,Belgium,15,0,0.0,0.049528301886792456,low,True,1.0,False
1970-1986,dismissals_received,Brazil,30,1,0.03333333333333333,0.049528301886792456,low,True,1.0,False
1970-1986,dismissals_received,Bulgaria,10,0,0.0,0.049528301886792456,low,True,1.0,False
