year,team,slot_assumption,round_label,unweighted_round_elo,weighted_round_elo,n_possible_opponents
1986,Algeria,winner,R16,1810.5,1780.27,4
1986,Algeria,winner,QF,1836.0,1911.0,8
1986,Algeria,winner,SF,1816.38,1894.99,16
1986,Algeria,winner,F,1835.0,1903.52,23
1986,Algeria,runner_up,R16,1884.5,1898.22,4
1986,Algeria,runner_up,QF,1817.5,1913.1,8
1986,Algeria,runner_up,SF,1816.38,1867.65,16
1986,Algeria,runner_up,F,1835.0,1909.34,23
1986,Argentina,winner,R16,1884.5,1880.3,4
1986,Argentina,winner,QF,1788.62,1838.23,8
1986,Argentina,winner,SF,1835.38,1915.95,16
1986,Argentina,winner,F,1823.87,1908.78,23
1986,Argentina,runner_up,R16,1868.25,1932.54,4
1986,Argentina,runner_up,QF,1816.25,1865.84,8
1986,Argentina,runner_up,SF,1812.53,1894.17,15
1986,Argentina,runner_up,F,1823.87,1903.1,23
1986,Belgium,winner,R16,1803.75,1818.77,4
1986,Belgium,winner,QF,1847.5,1923.25,8
1986,Belgium,winner,SF,1826.12,1902.73,16
1986,Belgium,winner,F,1826.09,1899.6,23
1986,Belgium,runner_up,R16,1810.5,1831.56,4
1986,Belgium,runner_up,QF,1844.12,1876.72,8
1986,Belgium,runner_up,SF,1836.2,1915.56,15
1986,Belgium,runner_up,F,1826.09,1907.34,23
1986,Brazil,winner,R16,1810.5,1780.27,4
1986,Brazil,winner,QF,1836.0,1911.0,8
1986,Brazil,winner,SF,1816.38,1894.99,16
1986,Brazil,winner,F,1822.04,1902.1,23
1986,Brazil,runner_up,R16,1884.5,1898.22,4
1986,Brazil,runner_up,QF,1817.5,1913.1,8
1986,Brazil,runner_up,SF,1816.38,1867.65,16
1986,Brazil,runner_up,F,1822.04,1907.23,23
1986,Bulgaria,winner,R16,1884.5,1880.3,4
1986,Bulgaria,winner,QF,1788.62,1838.23,8
1986,Bulgaria,winner,SF,1835.38,1915.95,16
1986,Bulgaria,winner,F,1825.17,1910.06,23
1986,Bulgaria,runner_up,R16,1868.25,1932.54,4
1986,Bulgaria,runner_up,QF,1816.25,1865.84,8
1986,Bulgaria,runner_up,SF,1814.53,1896.92,15
1986,Bulgaria,runner_up,F,1825.17,1903.9,23
1986,Canada,winner,R16,1766.75,1777.13,4
1986,Canada,winner,QF,1853.25,1895.68,8
1986,Canada,winner,SF,1816.38,1867.65,16
1986,Canada,winner,F,1833.74,1912.93,23
1986,Canada,runner_up,R16,1803.75,1853.16,4
1986,Canada,runner_up,QF,1816.25,1865.84,8
1986,Canada,runner_up,SF,1816.38,1894.99,16
