team,referee,n,years,n_tournaments
Argentina,Szymon Marciniak,4,2018/2022/2026,3
Czechoslovakia,Arthur Edward Ellis,3,1954/1958,2
France,Néstor Pitana,3,2014/2018,2
Brazil,Maurice Guigue,3,1958,1
Yugoslavia,Sandy Griffiths,3,1950/1954/1958,3
England,István Zsolt,3,1954/1958/1966,3
Italy,Benito Archundia,3,2006/2010,2
Brazil,Abraham Klein,3,1970/1978/1982,3
Italy,Joël Quiniou,3,1990/1994,2
Argentina,John Langenus,3,1930,1
France,Sandy Griffiths,3,1954/1958,2
Argentina,Nicola Rizzoli,3,2014,1
Argentina,Ravshan Irmatov,3,2010/2018,2
Italy,Abraham Klein,3,1978/1982,2
Netherlands,Wilton Sampaio,3,2022/2026,2
Portugal,Jorge Larrionda,3,2006/2010,2
Switzerland,Ivan Eklind,3,1934/1938/1950,3
