era,team_name,matches,wins,draws,losses,goals_for,goals_against,yellows_received,dismissals_received,pen_goals_for,yellows_drawn,dismissals_drawn,pen_goals_against
1930-1966,Argentina,16,8,2,6,31,27,0,0,2,0,0,2
1930-1966,Austria,12,6,1,5,26,26,0,0,1,0,0,4
1930-1966,Belgium,6,0,1,5,8,20,0,0,0,0,0,1
1930-1966,Bolivia,3,0,0,3,0,16,0,0,0,0,0,0
1930-1966,Brazil,32,20,5,7,84,42,0,0,1,0,0,8
1930-1966,Bulgaria,6,0,1,5,2,15,0,0,0,0,0,0
1930-1966,Chile,15,7,1,7,22,22,0,0,2,0,0,2
1930-1966,Colombia,3,0,1,2,5,11,0,0,1,0,0,0
1930-1966,Cuba,3,1,1,1,5,12,0,0,0,0,0,0
1930-1966,Czechoslovakia,19,8,3,8,30,29,0,0,3,0,0,2
1930-1966,Dutch East Indies,1,0,0,1,0,6,0,0,0,0,0,0
1930-1966,Egypt,1,0,0,1,2,4,0,0,0,0,0,0
1930-1966,England,20,8,6,6,30,24,0,0,3,0,0,1
1930-1966,France,17,7,1,9,38,33,0,0,4,0,0,1
1930-1966,Germany,6,3,1,2,14,13,0,0,0,0,0,0
1930-1966,Hungary,23,13,2,8,70,34,0,0,3,0,0,2
1930-1966,Italy,20,12,2,6,38,22,0,0,2,0,0,0
1930-1966,Mexico,17,1,3,13,13,46,0,0,3,0,0,2
1930-1966,Netherlands,2,0,0,2,2,6,0,0,0,0,0,0
1930-1966,North Korea,4,1,1,2,5,9,0,0,0,0,0,3
1930-1966,Northern Ireland,5,2,1,2,6,10,0,0,0,0,0,1
1930-1966,Norway,1,0,0,1,1,2,0,0,0,0,0,0
1930-1966,Paraguay,7,2,2,3,12,19,0,0,1,0,0,0
1930-1966,Peru,2,0,0,2,1,4,0,0,0,0,0,0
1930-1966,Poland,1,0,0,1,5,6,0,0,1,0,0,0
1930-1966,Portugal,6,5,0,1,17,8,0,0,4,0,0,0
1930-1966,Romania,5,1,1,3,8,12,0,0,0,0,0,0
1930-1966,Scotland,5,0,1,4,4,14,0,0,0,0,0,0
1930-1966,South Korea,2,0,0,2,0,16,0,0,0,0,0,0
1930-1966,Soviet Union,15,8,2,5,24,19,0,0,0,0,0,2
1930-1966,Spain,15,6,2,7,20,23,0,0,1,0,0,0
1930-1966,Sweden,16,8,2,6,38,35,0,0,2,0,0,0
1930-1966,Switzerland,18,5,2,11,28,44,0,0,0,0,0,1
1930-1966,Turkey,3,1,0,2,10,11,0,0,0,0,0,0
1930-1966,United States,7,3,0,4,12,21,0,0,1,0,0,0
1930-1966,Uruguay,20,12,3,5,52,28,0,0,0,0,0,4
1930-1966,Wales,5,1,3,1,4,4,0,0,0,0,0,0
1930-1966,West Germany,22,13,4,5,56,36,0,0,4,0,0,2
1930-1966,Yugoslavia,19,9,3,7,33,27,0,0,1,0,0,2
1970-1986,Algeria,6,2,1,3,6,10,4,0,0,6,0,1
1970-1986,Argentina,25,14,4,7,46,28,31,2,2,32,2,1
1970-1986,Australia,3,0,1,2,0,5,1,1,0,3,0,0
1970-1986,Austria,11,5,1,5,12,14,8,0,1,3,0,1
1970-1986,Belgium,15,6,2,7,19,25,14,0,2,19,1,3
1970-1986,Brazil,30,21,5,4,60,21,22,1,3,27,1,0
1970-1986,Bulgaria,10,0,5,5,9,20,6,0,0,9,0,3
1970-1986,Cameroon,3,0,3,0,1,1,4,0,0,2,0,0
1970-1986,Canada,3,0,0,3,0,5,3,1,0,0,0,0
1970-1986,Chile,6,0,2,4,4,10,9,1,1,4,1,0
1970-1986,Czechoslovakia,6,0,2,4,4,11,4,1,2,3,0,2
1970-1986,Denmark,4,3,0,1,10,6,5,1,2,8,1,3
1970-1986,East Germany,6,2,2,2,5,5,10,0,0,6,0,0
1970-1986,El Salvador,6,0,0,6,1,22,9,0,0,5,0,2
1970-1986,England,14,7,3,4,17,8,13,1,1,10,0,0
1970-1986,France,17,9,2,6,33,23,15,0,2,16,1,2
1970-1986,Haiti,3,0,0,3,2,14,3,0,0,2,0,0
1970-1986,Honduras,3,0,2,1,2,3,1,1,0,1,0,2
1970-1986,Hungary,9,2,1,6,17,23,6,2,1,8,1,1
1970-1986,Iran,3,0,1,2,2,8,0,0,0,0,0,4
1970-1986,Iraq,3,0,0,3,1,4,9,1,0,2,0,1
1970-1986,Israel,3,0,2,1,1,3,4,0,0,2,0,0
1970-1986,Italy,27,13,9,5,41,30,34,0,1,37,1,1
1970-1986,Kuwait,3,0,1,2,2,6,3,0,0,2,0,1
1970-1986,Mexico,12,5,2,5,14,18,15,1,2,22,1,0
1970-1986,Morocco,7,1,3,3,5,8,5,0,0,3,1,0
1970-1986,Netherlands,14,8,3,3,30,13,19,1,7,21,2,2
1970-1986,New Zealand,3,0,0,3,2,12,0,0,0,0,0,0
1970-1986,Northern Ireland,8,1,4,3,7,13,9,1,0,5,0,0
1970-1986,Paraguay,4,1,2,1,4,6,5,0,0,7,0,0
1970-1986,Peru,13,4,3,6,18,27,5,0,2,5,0,1
1970-1986,Poland,24,13,5,6,34,23,23,0,1,22,0,2
1970-1986,Portugal,3,1,0,2,2,4,2,0,0,4,0,0
1970-1986,Romania,3,1,0,2,4,5,3,0,1,1,0,0
1970-1986,Scotland,12,3,5,4,17,18,10,0,1,12,1,1
1970-1986,South Korea,3,0,1,2,4,7,7,0,0,4,0,0
1970-1986,Soviet Union,13,6,4,3,25,11,14,0,2,10,0,0
1970-1986,Spain,13,5,3,5,17,11,15,0,4,14,1,1
1970-1986,Sweden,12,3,4,5,10,11,9,0,0,9,0,2
1970-1986,Tunisia,3,1,1,1,3,2,1,0,0,1,0,1
1970-1986,Uruguay,13,2,4,7,7,19,24,3,1,12,0,0
1970-1986,West Germany,33,20,6,7,60,36,27,1,3,56,4,3
1970-1986,Yugoslavia,9,2,3,4,14,9,13,0,1,8,2,2
1970-1986,Zaire,3,0,0,3,0,14,2,1,0,3,0,0
1990-2018,Algeria,7,1,2,4,7,9,14,2,1,11,0,0
1990-2018,Angola,3,0,2,1,1,2,11,1,0,6,0,0
1990-2018,Argentina,40,25,4,11,60,38,87,6,4,89,10,5
1990-2018,Australia,13,2,3,8,13,26,31,3,4,30,3,3
1990-2018,Austria,6,1,2,3,5,7,15,1,1,12,0,1
1990-2018,Belgium,27,15,5,7,41,27,36,3,1,50,2,3
1990-2018,Bolivia,3,0,1,2,1,4,8,2,0,7,0,1
1990-2018,Bosnia and Herzegovina,3,1,0,2,4,4,3,0,0,3,0,0
1990-2018,Brazil,47,35,4,8,85,42,75,5,5,109,7,4
1990-2018,Bulgaria,10,4,1,5,11,18,31,3,3,28,1,3
1990-2018,Cameroon,20,4,4,12,17,42,44,8,2,38,1,3
1990-2018,Chile,12,4,3,5,14,17,35,1,0,21,3,2
1990-2018,China,3,0,0,3,0,9,5,1,0,9,0,1
1990-2018,Colombia,19,9,1,9,27,19,31,1,2,35,0,2
1990-2018,Costa Rica,18,6,3,9,19,28,38,1,0,39,1,1
1990-2018,Croatia,23,13,2,8,35,26,52,4,2,38,4,5
1990-2018,Czech Republic,3,1,0,2,3,4,7,2,0,9,0,0
1990-2018,Czechoslovakia,5,3,0,2,10,5,14,1,2,10,1,1
1990-2018,Denmark,16,6,4,6,20,20,33,2,2,23,2,2
1990-2018,Ecuador,10,4,1,5,10,11,23,1,0,14,0,0
1990-2018,Egypt,6,0,2,4,3,8,9,0,2,4,0,1
1990-2018,England,35,15,8,12,44,32,44,2,7,63,1,4
1990-2018,France,32,20,6,6,49,21,55,6,7,73,4,4
1990-2018,Germany,41,29,4,8,81,35,78,4,2,83,8,0
1990-2018,Ghana,12,4,2,6,13,16,35,1,3,20,4,1
1990-2018,Greece,10,2,1,7,5,20,21,1,1,20,2,3
1990-2018,Honduras,6,0,1,5,1,11,14,1,0,9,0,1
1990-2018,Iceland,3,0,1,2,2,5,3,0,1,3,0,0
1990-2018,Iran,12,2,3,7,7,16,22,0,1,19,0,1
1990-2018,Italy,36,21,6,9,49,25,59,6,5,89,6,3
1990-2018,Ivory Coast,9,3,1,5,13,14,21,1,2,17,2,1
1990-2018,Jamaica,3,1,0,2,3,9,6,1,0,4,0,1
1990-2018,Japan,21,5,4,12,20,29,36,0,1,40,2,1
1990-2018,Mexico,28,10,7,11,33,34,67,5,5,64,6,3
1990-2018,Morocco,9,1,2,6,9,14,22,0,0,15,1,1
1990-2018,Netherlands,34,20,6,8,54,29,79,6,3,79,6,5
1990-2018,New Zealand,3,0,3,0,2,2,6,0,0,3,0,1
