year,team_name,matches,wins,draws,losses,goals_for,goals_against,yellows_received,dismissals_received,pen_goals_for,yellows_drawn,dismissals_drawn,pen_goals_against
1930,Argentina,5,4,0,1,18,9,0,0,0,0,0,1
1930,Belgium,2,0,0,2,0,4,0,0,0,0,0,0
1930,Bolivia,2,0,0,2,0,8,0,0,0,0,0,0
1930,Brazil,2,1,0,1,5,2,0,0,0,0,0,0
1930,Chile,3,2,0,1,5,3,0,0,0,0,0,0
1930,France,3,1,0,2,4,3,0,0,0,0,0,0
1930,Mexico,3,0,0,3,4,13,0,0,1,0,0,0
1930,Paraguay,2,1,0,1,1,3,0,0,0,0,0,0
1930,Peru,2,0,0,2,1,4,0,0,0,0,0,0
1930,Romania,2,1,0,1,3,5,0,0,0,0,0,0
1930,United States,3,2,0,1,7,6,0,0,0,0,0,0
1930,Uruguay,4,4,0,0,15,3,0,0,0,0,0,0
1930,Yugoslavia,3,2,0,1,7,7,0,0,0,0,0,0
1934,Argentina,1,0,0,1,2,3,0,0,0,0,0,0
1934,Austria,4,2,0,2,7,7,0,0,0,0,0,2
1934,Belgium,1,0,0,1,2,5,0,0,0,0,0,0
1934,Brazil,1,0,0,1,1,3,0,0,0,0,0,1
1934,Czechoslovakia,4,3,0,1,9,6,0,0,0,0,0,0
1934,Egypt,1,0,0,1,2,4,0,0,0,0,0,0
1934,France,1,0,0,1,2,3,0,0,1,0,0,0
1934,Germany,4,3,0,1,11,8,0,0,0,0,0,0
1934,Hungary,2,1,0,1,5,4,0,0,1,0,0,0
1934,Italy,5,4,1,0,12,3,0,0,0,0,0,0
1934,Netherlands,1,0,0,1,2,3,0,0,0,0,0,0
1934,Romania,1,0,0,1,1,2,0,0,0,0,0,0
1934,Spain,3,1,1,1,4,3,0,0,1,0,0,0
1934,Sweden,2,1,0,1,4,4,0,0,0,0,0,0
1934,Switzerland,2,1,0,1,5,5,0,0,0,0,0,0
1934,United States,1,0,0,1,1,7,0,0,0,0,0,0
1938,Belgium,1,0,0,1,1,3,0,0,0,0,0,0
1938,Brazil,5,3,1,1,14,11,0,0,0,0,0,3
1938,Cuba,3,1,1,1,5,12,0,0,0,0,0,0
1938,Czechoslovakia,3,1,1,1,5,3,0,0,1,0,0,0
1938,Dutch East Indies,1,0,0,1,0,6,0,0,0,0,0,0
1938,France,2,1,0,1,4,4,0,0,0,0,0,0
1938,Germany,2,0,1,1,3,5,0,0,0,0,0,0
1938,Hungary,4,3,0,1,15,5,0,0,0,0,0,0
1938,Italy,4,4,0,0,11,5,0,0,1,0,0,0
1938,Netherlands,1,0,0,1,0,3,0,0,0,0,0,0
1938,Norway,1,0,0,1,1,2,0,0,0,0,0,0
1938,Poland,1,0,0,1,5,6,0,0,1,0,0,0
1938,Romania,2,0,1,1,4,5,0,0,0,0,0,0
1938,Sweden,3,1,0,2,11,9,0,0,0,0,0,0
1938,Switzerland,3,1,1,1,5,5,0,0,0,0,0,0
1950,Bolivia,1,0,0,1,0,8,0,0,0,0,0,0
1950,Brazil,6,4,1,1,22,6,0,0,0,0,0,1
1950,Chile,3,1,0,2,5,6,0,0,0,0,0,1
1950,England,3,1,0,2,2,2,0,0,0,0,0,0
1950,Italy,2,1,0,1,4,3,0,0,0,0,0,0
1950,Mexico,3,0,0,3,2,10,0,0,1,0,0,0
1950,Paraguay,2,0,1,1,2,4,0,0,0,0,0,0
1950,Spain,6,3,1,2,10,12,0,0,0,0,0,0
1950,Sweden,5,2,1,2,11,15,0,0,1,0,0,0
1950,Switzerland,3,1,1,1,4,6,0,0,0,0,0,0
1950,United States,3,1,0,2,4,8,0,0,1,0,0,0
1950,Uruguay,4,3,1,0,15,5,0,0,0,0,0,0
1950,Yugoslavia,3,2,0,1,7,3,0,0,0,0,0,1
1954,Austria,5,4,0,1,17,12,0,0,1,0,0,2
1954,Belgium,2,0,1,1,5,8,0,0,0,0,0,1
1954,Brazil,3,1,1,1,8,5,0,0,1,0,0,1
1954,Czechoslovakia,2,0,0,2,0,7,0,0,0,0,0,0
1954,England,3,1,1,1,8,8,0,0,0,0,0,0
1954,France,2,1,0,1,3,3,0,0,1,0,0,0
1954,Hungary,5,4,0,1,27,10,0,0,1,0,0,1
1954,Italy,3,1,0,2,6,7,0,0,1,0,0,0
1954,Mexico,2,0,0,2,2,8,0,0,0,0,0,1
1954,Scotland,2,0,0,2,0,8,0,0,0,0,0,0
1954,South Korea,2,0,0,2,0,16,0,0,0,0,0,0
1954,Switzerland,4,2,0,2,11,11,0,0,0,0,0,0
1954,Turkey,3,1,0,2,10,11,0,0,0,0,0,0
1954,Uruguay,5,3,0,2,16,9,0,0,0,0,0,1
1954,West Germany,6,5,0,1,25,14,0,0,2,0,0,0
