,fav,ag,m,net_pm
Algeria,0.0,1.0,4,-0.25
Argentina,8.0,1.0,18,0.3888888888888889
Australia,1.0,2.0,11,-0.09090909090909091
Austria,1.0,2.0,4,-0.25
Belgium,4.0,2.0,16,0.125
Bosnia and Herzegovina,1.0,0.0,4,0.25
Brazil,1.0,3.0,15,-0.13333333333333333
Cameroon,1.0,0.0,3,0.3333333333333333
Canada,3.0,1.0,8,0.25
Colombia,1.0,0.0,9,0.1111111111111111
Costa Rica,1.0,2.0,6,-0.16666666666666666
Croatia,0.0,6.0,18,-0.3333333333333333
DR Congo,0.0,1.0,4,-0.25
Denmark,0.0,3.0,7,-0.42857142857142855
Ecuador,1.0,2.0,7,-0.14285714285714285
Egypt,2.0,1.0,8,0.125
England,3.0,4.0,19,-0.05263157894736842
France,3.0,5.0,21,-0.09523809523809523
Germany,1.0,5.0,10,-0.4
Ghana,3.0,0.0,7,0.42857142857142855
Iceland,1.0,0.0,3,0.3333333333333333
Iran,3.0,4.0,9,-0.1111111111111111
Iraq,0.0,1.0,3,-0.3333333333333333
Japan,2.0,0.0,12,0.16666666666666666
Jordan,1.0,2.0,3,-0.3333333333333333
Mexico,5.0,1.0,12,0.3333333333333333
Morocco,0.0,2.0,16,-0.125
Netherlands,0.0,1.0,9,-0.1111111111111111
New Zealand,1.0,0.0,3,0.3333333333333333
Nigeria,0.0,2.0,3,-0.6666666666666666
Norway,1.0,2.0,6,-0.16666666666666666
Paraguay,1.0,3.0,5,-0.4
Peru,1.0,0.0,3,0.3333333333333333
Poland,3.0,2.0,7,0.14285714285714285
Portugal,6.0,1.0,14,0.35714285714285715
Qatar,3.0,2.0,6,0.16666666666666666
Russia,0.0,1.0,5,-0.2
Saudi Arabia,4.0,1.0,9,0.3333333333333333
Scotland,1.0,0.0,3,0.3333333333333333
Senegal,2.0,2.0,11,0.0
Serbia,1.0,1.0,6,0.0
South Africa,0.0,1.0,4,-0.25
South Korea,1.0,1.0,10,0.0
Spain,2.0,2.0,15,0.0
Sweden,2.0,1.0,9,0.1111111111111111
Switzerland,3.0,1.0,14,0.14285714285714285
Tunisia,2.0,1.0,9,0.1111111111111111
Turkey,1.0,0.0,3,0.3333333333333333
United States,2.0,1.0,9,0.1111111111111111
Uruguay,0.0,3.0,11,-0.2727272727272727
Uzbekistan,1.0,1.0,3,0.0
Wales,1.0,1.0,3,0.0
