player,team,wc_tklw,wc_fouls,wc_cards,cp_tklw,cp_fouls,cp_cards,wc_fpt,cp_fpt,is_arg
Alex Sandro,Brazil,3,3,0,4,4,1,1.0,1.0,False
Alexis Mac Allister,Argentina,14,7,0,7,7,1,0.5,1.0,True
Alistair Johnston,Canada,3,5,1,17,8,1,1.67,0.47,False
Antonee Robinson,United States,8,6,1,5,2,1,0.75,0.4,False
Bruno Guimarães,Brazil,6,4,0,8,13,1,0.67,1.62,False
Casemiro,Brazil,9,13,3,9,10,0,1.44,1.11,False
Cristian Romero,Argentina,13,21,3,18,6,0,1.62,0.33,True
Damián Bobadilla,Paraguay,3,1,0,5,2,0,0.33,0.4,False
Daniel Muñoz,Colombia,3,9,0,18,29,5,3.0,1.61,False
Derek Cornelius,Canada,3,4,1,6,9,2,1.33,1.5,False
Federico Valverde,Uruguay,4,6,0,14,4,1,1.5,0.29,False
Francisco Calvo,Costa Rica,4,6,2,3,1,1,1.5,0.33,False
Jhon Arias,Colombia,9,5,1,8,15,0,0.56,1.88,False
Johan Mojica,Colombia,3,1,1,10,2,0,0.33,0.2,False
Julio Enciso,Paraguay,5,3,0,4,3,0,0.6,0.75,False
Julián Álvarez,Argentina,3,8,0,3,5,0,2.67,1.67,True
Júnior Alonso,Paraguay,9,3,1,5,9,1,0.33,1.8,False
Leandro Paredes,Argentina,9,11,3,6,7,2,1.22,1.17,True
Lionel Messi,Argentina,12,12,1,5,3,0,1.0,0.6,True
Lisandro Martínez,Argentina,6,6,1,4,4,0,1.0,1.0,True
Lucas Paquetá,Brazil,9,7,0,23,13,3,0.78,0.57,False
Marcos Acuña,Argentina,8,9,3,4,9,1,1.12,2.25,True
Marquinhos,Brazil,4,1,1,7,1,0,0.25,0.14,False
Mathías Olivera,Uruguay,9,5,2,9,2,0,0.56,0.22,False
Matías Vecino,Uruguay,3,4,0,7,8,0,1.33,1.14,False
Miguel Almirón,Paraguay,7,2,2,3,4,1,0.29,1.33,False
Moisés Caicedo,Ecuador,11,9,2,7,17,3,0.82,2.43,False
Nahuel Molina,Argentina,4,3,0,13,4,1,0.75,0.31,True
Nicolás González,Argentina,3,4,0,4,6,1,1.33,1.5,True
Nicolás Otamendi,Argentina,6,13,2,4,9,2,2.17,2.25,True
Nicolás Tagliafico,Argentina,7,6,0,4,4,1,0.86,1.0,True
Pervis Estupiñán,Ecuador,3,8,0,6,19,2,2.67,3.17,False
Piero Hincapié,Ecuador,9,10,2,13,16,2,1.11,1.23,False
Raphinha,Brazil,6,2,0,5,4,0,0.33,0.8,False
Richie Laryea,Canada,9,8,1,8,4,1,0.89,0.5,False
Rodrigo Bentancur,Uruguay,13,12,2,7,6,0,0.92,0.86,False
Rodrigo De Paul,Argentina,10,9,1,14,17,2,0.9,1.21,True
Stephen Eustáquio,Canada,5,2,0,5,12,1,0.4,2.4,False
Ángelo Preciado,Ecuador,5,8,0,15,13,2,1.6,0.87,False
