competition,year,player,team,pos,minutes,tackles_won,fouls_committed,fouls_drawn,cards,fpt,cpf
FIFA World Cup,2018,Gabriel Mercado,Argentina,DF,270,4,8,5,1,2.0,0.12
FIFA World Cup,2018,Javier Mascherano,Argentina,MF,360,7,15,7,2,2.14,0.13
FIFA World Cup,2018,Lionel Messi,Argentina,MF,360,5,4,17,1,0.8,0.25
FIFA World Cup,2018,Nicolás Otamendi,Argentina,DF,360,7,4,5,2,0.57,0.5
FIFA World Cup,2018,Nicolás Tagliafico,Argentina,DF,349,3,6,7,1,2.0,0.17
FIFA World Cup,2018,Éver Banega,Argentina,MF,217,6,3,3,2,0.5,0.67
FIFA World Cup,2018,Aziz Behich,Australia,DF,270,3,4,2,1,1.33,0.25
FIFA World Cup,2018,Josh Risdon,Australia,DF,270,8,4,1,1,0.5,0.25
FIFA World Cup,2018,Mark Milligan,Australia,DF,270,4,3,0,1,0.75,0.33
FIFA World Cup,2018,Mile Jedinak,Australia,MF,270,5,6,2,1,1.2,0.17
FIFA World Cup,2018,Robbie Kruse,Australia,MF,207,4,2,8,0,0.5,0.0
FIFA World Cup,2018,Axel Witsel,Belgium,MF,539,5,10,9,1,2.0,0.1
FIFA World Cup,2018,Eden Hazard,Belgium,MF,517,5,6,27,1,1.2,0.17
FIFA World Cup,2018,Jan Vertonghen,Belgium,DF,540,8,5,3,2,0.62,0.4
FIFA World Cup,2018,Kevin De Bruyne,Belgium,MF,540,5,5,3,1,1.0,0.2
FIFA World Cup,2018,Marouane Fellaini,Belgium,MF,317,6,11,6,0,1.83,0.0
FIFA World Cup,2018,Nacer Chadli,Belgium,DF,326,3,2,1,0,0.67,0.0
FIFA World Cup,2018,Thomas Meunier,Belgium,DF,450,6,9,1,2,1.5,0.22
FIFA World Cup,2018,Toby Alderweireld,Belgium,DF,540,7,4,1,2,0.57,0.5
FIFA World Cup,2018,Vincent Kompany,Belgium,DF,377,4,7,1,0,1.75,0.0
FIFA World Cup,2018,Yannick Carrasco,Belgium,DF,238,3,5,5,0,1.67,0.0
FIFA World Cup,2018,Casemiro,Brazil,MF,329,10,4,2,2,0.4,0.5
FIFA World Cup,2018,Fagner,Brazil,DF,360,5,7,3,1,1.4,0.14
FIFA World Cup,2018,Gabriel Jesus,Brazil,FW,404,6,6,3,0,1.0,0.0
FIFA World Cup,2018,Marcelo,Brazil,DF,279,4,1,3,0,0.25,0.0
FIFA World Cup,2018,Miranda,Brazil,DF,450,7,8,4,0,1.14,0.0
FIFA World Cup,2018,Neymar,Brazil,FW,450,3,4,26,1,1.33,0.25
FIFA World Cup,2018,Paulinho,Brazil,MF,349,6,3,6,0,0.5,0.0
FIFA World Cup,2018,Philippe Coutinho,Brazil,MF,434,5,3,7,1,0.6,0.33
FIFA World Cup,2018,Thiago Silva,Brazil,DF,450,4,2,3,0,0.5,0.0
FIFA World Cup,2018,Willian,Brazil,FW,359,3,5,10,0,1.67,0.0
FIFA World Cup,2018,Davinson Sánchez,Colombia,DF,390,4,3,2,0,0.75,0.0
FIFA World Cup,2018,Johan Mojica,Colombia,DF,390,6,3,2,1,0.5,0.33
FIFA World Cup,2018,Juan Quintero,Colombia,MF,307,3,1,3,0,0.33,0.0
FIFA World Cup,2018,Mateus Uribe,Colombia,MF,183,4,2,1,0,0.5,0.0
FIFA World Cup,2018,Santiago Arias,Colombia,DF,385,3,9,5,1,3.0,0.11
FIFA World Cup,2018,Wílmar Barrios,Colombia,MF,270,12,8,3,2,0.67,0.25
FIFA World Cup,2018,Yerry Mina,Colombia,DF,300,3,6,5,0,2.0,0.0
FIFA World Cup,2018,Bryan Oviedo,Costa Rica,DF,180,3,4,0,0,1.33,0.0
FIFA World Cup,2018,Celso Borges,Costa Rica,MF,270,3,2,0,0,0.67,0.0
FIFA World Cup,2018,Cristian Gamboa,Costa Rica,DF,253,8,4,6,1,0.5,0.25
FIFA World Cup,2018,Johnny Acosta,Costa Rica,DF,270,3,1,5,1,0.33,1.0
FIFA World Cup,2018,Ante Rebić,Croatia,MF,543,7,21,11,2,3.0,0.1
FIFA World Cup,2018,Dejan Lovren,Croatia,DF,651,5,7,6,1,1.4,0.14
FIFA World Cup,2018,Domagoj Vida,Croatia,DF,630,4,2,2,1,0.5,0.5
FIFA World Cup,2018,Ivan Perišić,Croatia,MF,629,6,5,5,0,0.83,0.0
FIFA World Cup,2018,Ivan Rakitić,Croatia,MF,640,3,9,20,1,3.0,0.11
FIFA World Cup,2018,Ivan Strinić,Croatia,DF,508,6,10,8,1,1.67,0.1
FIFA World Cup,2018,Luka Modrić,Croatia,MF,691,6,12,12,0,2.0,0.0
FIFA World Cup,2018,Marcelo Brozović,Croatia,MF,459,10,5,6,1,0.5,0.2
FIFA World Cup,2018,Mario Mandžukić,Croatia,FW,605,11,13,12,2,1.18,0.15
FIFA World Cup,2018,Mateo Kovačić,Croatia,MF,185,6,3,7,0,0.5,0.0
FIFA World Cup,2018,Šime Vrsaljko,Croatia,DF,606,4,10,7,2,2.5,0.2
FIFA World Cup,2018,Henrik Dalsgaard,Denmark,DF,390,9,8,1,0,0.89,0.0
FIFA World Cup,2018,Lasse Schöne,Denmark,MF,221,3,2,2,0,0.67,0.0
FIFA World Cup,2018,Pione Sisto,Denmark,FW,230,3,0,6,1,0.0,
FIFA World Cup,2018,Thomas Delaney,Denmark,MF,366,6,12,3,1,2.0,0.08
FIFA World Cup,2018,Yussuf Poulsen,Denmark,FW,268,3,9,2,2,3.0,0.22
FIFA World Cup,2018,Abdallah Said,Egypt,MF,224,3,0,2,0,0.0,
FIFA World Cup,2018,Ahmed Fathy,Egypt,DF,270,6,7,1,1,1.17,0.14
FIFA World Cup,2018,Ali Gabr,Egypt,DF,270,4,2,1,1,0.5,0.5
FIFA World Cup,2018,Mohamed Abdel-Shafy,Egypt,DF,270,3,2,2,0,0.67,0.0
FIFA World Cup,2018,Tarek Hamed,Egypt,MF,229,5,6,3,0,1.2,0.0
FIFA World Cup,2018,Trézéguet,Egypt,FW,237,5,5,1,1,1.0,0.2
FIFA World Cup,2018,Ashley Young,England,FW,461,3,4,3,0,1.33,0.0
FIFA World Cup,2018,Dele Alli,England,MF,362,5,3,9,0,0.6,0.0
FIFA World Cup,2018,Eric Dier,England,MF,251,4,5,4,0,1.25,0.0
FIFA World Cup,2018,Fabian Delph,England,MF,222,3,1,3,0,0.33,0.0
FIFA World Cup,2018,Harry Maguire,England,DF,645,4,8,6,2,2.0,0.25
FIFA World Cup,2018,Jesse Lingard,England,MF,526,3,9,5,1,3.0,0.11
FIFA World Cup,2018,John Stones,England,DF,645,8,4,4,1,0.5,0.25
FIFA World Cup,2018,Jordan Henderson,England,MF,480,3,3,3,1,1.0,0.33
FIFA World Cup,2018,Kieran Trippier,England,FW,579,6,6,6,0,1.0,0.0
FIFA World Cup,2018,Kyle Walker,England,DF,493,3,2,5,2,0.67,1.0
FIFA World Cup,2018,Antoine Griezmann,France,MF,566,8,6,11,0,0.75,0.0
FIFA World Cup,2018,Benjamin Pavard,France,DF,540,11,9,5,1,0.82,0.11
FIFA World Cup,2018,Blaise Matuidi,France,FW,334,10,11,5,2,1.1,0.18
FIFA World Cup,2018,Kylian Mbappé,France,FW,532,6,1,14,2,0.17,2.0
FIFA World Cup,2018,Lucas Hernández,France,DF,589,7,8,15,2,1.14,0.25
FIFA World Cup,2018,N'Golo Kanté,France,MF,593,12,11,4,2,0.92,0.18
FIFA World Cup,2018,Olivier Giroud,France,FW,545,3,14,4,1,4.67,0.07
FIFA World Cup,2018,Paul Pogba,France,MF,538,11,14,17,1,1.27,0.07
FIFA World Cup,2018,Samuel Umtiti,France,DF,540,3,6,9,0,2.0,0.0
FIFA World Cup,2018,Mats Hummels,Germany,DF,180,4,3,1,1,0.75,0.33
FIFA World Cup,2018,Thomas Müller,Germany,FW,208,4,3,1,1,0.75,0.33
FIFA World Cup,2018,Toni Kroos,Germany,MF,270,4,1,6,0,0.25,0.0
FIFA World Cup,2018,Birkir Bjarnason,Iceland,MF,269,3,5,4,0,1.67,0.0
FIFA World Cup,2018,Emil Hallfreðsson,Iceland,MF,180,3,3,6,1,1.0,0.33
FIFA World Cup,2018,Gylfi Sigurðsson,Iceland,MF,270,5,2,4,0,0.4,0.0
FIFA World Cup,2018,Hörður Magnússon,Iceland,DF,270,4,4,0,0,1.0,0.0
FIFA World Cup,2018,Kári Árnason,Iceland,DF,180,3,4,1,0,1.33,0.0
FIFA World Cup,2018,Ehsan Hajsafi,Iran,DF,213,4,0,6,1,0.0,
FIFA World Cup,2018,Ramin Rezaeian,Iran,DF,270,5,4,4,0,0.8,0.0
FIFA World Cup,2018,Gaku Shibasaki,Japan,MF,339,6,7,3,1,1.17,0.14
FIFA World Cup,2018,Genki Haraguchi,Japan,FW,244,6,4,4,0,0.67,0.0
FIFA World Cup,2018,Hiroki Sakai,Japan,DF,360,3,0,4,0,0.0,
FIFA World Cup,2018,Makoto Hasebe,Japan,MF,279,3,6,3,1,2.0,0.17
FIFA World Cup,2018,Takashi Inui,Japan,FW,292,5,2,9,1,0.4,0.5
FIFA World Cup,2018,Yūto Nagatomo,Japan,DF,360,4,2,3,0,0.5,0.0
FIFA World Cup,2018,Andrés Guardado,Mexico,MF,303,5,2,3,1,0.4,0.5
FIFA World Cup,2018,Carlos Salcedo,Mexico,DF,360,3,5,0,1,1.67,0.2
FIFA World Cup,2018,Carlos Vela,Mexico,MF,313,3,3,10,0,1.0,0.0
FIFA World Cup,2018,Edson Álvarez,Mexico,DF,267,6,4,4,1,0.67,0.25
FIFA World Cup,2018,Hirving Lozano,Mexico,FW,315,3,6,14,0,2.0,0.0
FIFA World Cup,2018,Hugo Ayala,Mexico,DF,180,3,0,0,0,0.0,
FIFA World Cup,2018,Héctor Herrera,Mexico,MF,360,10,15,7,2,1.5,0.13
FIFA World Cup,2018,Héctor Moreno,Mexico,DF,270,3,5,1,2,1.67,0.4
FIFA World Cup,2018,Jesús Gallardo,Mexico,DF,334,4,4,0,1,1.0,0.25
FIFA World Cup,2018,Miguel Layún,Mexico,FW,313,3,2,3,1,0.67,0.5
FIFA World Cup,2018,Achraf Hakimi,Morocco,DF,270,6,2,0,1,0.33,0.5
FIFA World Cup,2018,Hakim Ziyech,Morocco,FW,264,5,8,3,0,1.6,0.0
FIFA World Cup,2018,Karim El Ahmadi,Morocco,MF,265,5,7,1,2,1.4,0.29
FIFA World Cup,2018,M'barek Boussoufa,Morocco,MF,270,6,5,9,1,0.83,0.2
FIFA World Cup,2018,Manuel da Costa,Morocco,DF,189,3,2,0,1,0.67,0.5
FIFA World Cup,2018,Nordin Amrabat,Morocco,MF,255,3,10,8,1,3.33,0.1
FIFA World Cup,2018,Younès Belhanda,Morocco,MF,226,3,4,5,0,1.33,0.0
FIFA World Cup,2018,Brian Idowu,Nigeria,DF,225,3,3,2,1,1.0,0.33
FIFA World Cup,2018,John Obi Mikel,Nigeria,MF,267,5,5,1,1,1.0,0.2
FIFA World Cup,2018,Oghenekaro Etebo,Nigeria,MF,269,6,4,11,0,0.67,0.0
FIFA World Cup,2018,Wilfred Ndidi,Nigeria,MF,270,9,5,7,0,0.56,0.0
FIFA World Cup,2018,Fidel Escobar,Panama,DF,270,3,5,3,1,1.67,0.2
