tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,source_url
1930,1930-07-13,Group 1,France,Mexico,Domingo Lombardi,Uruguay,Gilberto de Almeida Rêgo,Brazil,Henri Christophe,Belgium,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup
1930,1930-07-13,Group 4,United States,Belgium,José Macías,Argentina,Francisco Mateucci,Uruguay,Alberto Warnken,Chile,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup
1930,1930-07-14,Group 2,Yugoslavia,Brazil,Aníbal Tejada,Uruguay,Ricardo Vallarino,Uruguay,Thomas Balvay,France,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup
1930,1930-07-14,Group 3,Romania,Peru,Alberto Warnken,Chile,John Langenus,Belgium,Francisco Mateucci,Uruguay,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup
1930,1930-07-15,Group 1,Argentina,France,Gilberto de Almeida Rêgo,Brazil,Ulises Saucedo,Bolivia,Constantin Rădulescu,Romania,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,1930-07-16,Group 1,Chile,Mexico,Henri Christophe,Belgium,Martin Aphesteguy,Uruguay,John Langenus,Belgium,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,1930-07-17,Group 2,Yugoslavia,Bolivia,Francisco Mateucci,Uruguay,Domingo Lombardi,Uruguay,Alberto Warnken,Chile,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup
1930,1930-07-17,Group 4,United States,Paraguay,José Macías,Argentina,Martin Aphesteguy,Uruguay,Aníbal Tejada,Uruguay,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,1930-07-18,Group 3,Uruguay,Peru,John Langenus,Belgium,Henri Christophe,Belgium,Thomas Balvay,France,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup
1930,1930-07-19,Group 1,Chile,France,Aníbal Tejada,Uruguay,Domingo Lombardi,Uruguay,Gilberto de Almeida Rêgo,Brazil,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup
1930,1930-07-19,Group 1,Argentina,Mexico,Ulises Saucedo,Bolivia,Gualberto Alonso,Uruguay,Constantin Rădulescu,Romania,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,1930-07-20,Group 2,Brazil,Bolivia,Thomas Balvay,France,Francisco Mateucci,Uruguay,Gaspar Vallejo,Mexico,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup; https://en.wikipedia.org/wiki/1930_FIFA_World_Cup
1930,1930-07-20,Group 4,Paraguay,Belgium,Ricardo Vallarino,Uruguay,Domingo Lombardi,Uruguay,José Macías,Argentina,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup
1930,1930-07-21,Group 3,Uruguay,Romania,Gilberto de Almeida Rêgo,Brazil,Ulises Saucedo,Bolivia,Alberto Warnken,Chile,https://www.rsssf.org/tables/30full.html; https://github.com/jfjelstul/worldcup
