tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,fourth_official,fourth_official_country,source_url
1990,1990-06-08,Group B,Argentina,Cameroon,Michel Vautrot,France,Vincent Mauro,United States,Michał Listkiewicz,Poland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/90full.html
1990,1990-06-09,Group A,Italy,Austria,José Roberto Wright,Brazil,Armando Pérez Hoyos,Colombia,Carlos Silva Valente,Portugal,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/90full.html
1990,1990-06-09,Group B,Soviet Union,Romania,Juan Daniel Cardellino,Uruguay,Emilio Soriano Aladrén,Spain,Hernán Silva,Chile,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/90full.html
1990,1990-06-09,Group D,United Arab Emirates,Colombia,George Courtney,England,Alan Snoddy,Northern Ireland,Shizuo Takada,Japan,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/90full.html
1990,1990-06-10,Group A,United States,Czechoslovakia,Kurt Röthlisberger,Switzerland,Marcel Van Langenhove,Belgium,Aron Schmidhuber,West Germany,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/90full.html
1990,1990-06-10,Group C,Brazil,Sweden,Tullio Lanese,Italy,Michel Vautrot,France,Neji Jouini,Tunisia,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/90full.html
1990,1990-06-10,Group D,West Germany,Yugoslavia,Peter Mikkelsen,Denmark,Jassim Mandi,Bahrain,Michał Listkiewicz,Poland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/90full.html
1990,1990-06-11,Group C,Costa Rica,Scotland,Juan Carlos Loustau,Argentina,Carlos Maciel,Paraguay,Elías Jácome,Ecuador,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/90full.html
1990,1990-06-11,Group F,England,Republic of Ireland,Aron Schmidhuber,West Germany,Erik Fredriksson,Sweden,Kurt Röthlisberger,Switzerland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/90full.html
1990,1990-06-12,Group E,Belgium,South Korea,Vincent Mauro,United States,Alan Snoddy,Northern Ireland,George Courtney,England,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/90full.html
1990,1990-06-12,Group F,Netherlands,Egypt,Emilio Soriano Aladrén,Spain,Edgardo Codesal,Mexico,Juan Daniel Cardellino,Uruguay,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/90full.html
1990,1990-06-13,Group B,Argentina,Soviet Union,Erik Fredriksson,Sweden,José Roberto Wright,Brazil,Jamal Al Sharif,Syria,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/90full.html
1990,1990-06-13,Group E,Uruguay,Spain,Helmut Kohl,Austria,Alexey Spirin,Soviet Union,Siegfried Kirschen,East Germany,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/90full.html
1990,1990-06-14,Group A,Italy,United States,Edgardo Codesal,Mexico,Berny Ulloa Morera,Costa Rica,Juan Daniel Cardellino,Uruguay,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/90full.html
1990,1990-06-14,Group B,Cameroon,Romania,Hernán Silva,Chile,Carlos Silva Valente,Portugal,Armando Pérez Hoyos,Colombia,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/90full.html
1990,1990-06-14,Group D,Yugoslavia,Colombia,Luigi Agnolin,Italy,Neji Jouini,Tunisia,Jean-Fidèle Diramba,Gabon,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/90full.html
1990,1990-06-15,Group A,Austria,Czechoslovakia,George Smith,Scotland,Richard Lorenc,Australia,Jamal Al Sharif,Syria,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/90full.html
1990,1990-06-15,Group D,West Germany,United Arab Emirates,Alexey Spirin,Soviet Union,Shizuo Takada,Japan,Pierluigi Pairetto,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/90full.html
1990,1990-06-16,Group C,Brazil,Costa Rica,Neji Jouini,Tunisia,Jean-Fidèle Diramba,Gabon,Jassim Mandi,Bahrain,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/90full.html
1990,1990-06-16,Group C,Sweden,Scotland,Carlos Maciel,Paraguay,Vincent Mauro,United States,Michał Listkiewicz,Poland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/90full.html
1990,1990-06-16,Group F,England,Netherlands,Zoran Petrović,Yugoslavia,Mohamed Hansal,Algeria,Edgardo Codesal,Mexico,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/90full.html
1990,1990-06-17,Group E,Belgium,Uruguay,Siegfried Kirschen,East Germany,Peter Mikkelsen,Denmark,Alexey Spirin,Soviet Union,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/90full.html
1990,1990-06-17,Group E,South Korea,Spain,Elías Jácome,Ecuador,Pierluigi Magni,Italy,Juan Carlos Loustau,Argentina,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/90full.html
1990,1990-06-17,Group F,Republic of Ireland,Egypt,Marcel Van Langenhove,Belgium,Joël Quiniou,France,Rosario Lo Bello,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/90full.html
1990,1990-06-18,Group B,Argentina,Romania,Carlos Silva Valente,Portugal,Berny Ulloa Morera,Costa Rica,Carlo Longhi,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/90full.html
1990,1990-06-18,Group B,Cameroon,Soviet Union,José Roberto Wright,Brazil,Kurt Röthlisberger,Switzerland,Pietro d'Elia,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_B; https://www.rsssf.org/tables/90full.html
1990,1990-06-19,Group A,Austria,United States,Jamal Al Sharif,Syria,Richard Lorenc,Australia,Zoran Petrović,Yugoslavia,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/90full.html
1990,1990-06-19,Group A,Italy,Czechoslovakia,Joël Quiniou,France,Marcel Van Langenhove,Belgium,George Smith,Scotland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_A; https://www.rsssf.org/tables/90full.html
1990,1990-06-19,Group D,West Germany,Colombia,Alan Snoddy,Northern Ireland,Jassim Mandi,Bahrain,Tullio Lanese,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/90full.html
1990,1990-06-19,Group D,Yugoslavia,United Arab Emirates,Shizuo Takada,Japan,Peter Mikkelsen,Denmark,Michel Vautrot,France,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_D; https://www.rsssf.org/tables/90full.html
1990,1990-06-20,Group C,Brazil,Scotland,Helmut Kohl,Austria,Michał Listkiewicz,Poland,Siegfried Kirschen,East Germany,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/90full.html
1990,1990-06-20,Group C,Sweden,Costa Rica,Zoran Petrović,Yugoslavia,Alan Snoddy,Northern Ireland,George Courtney,England,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_C; https://www.rsssf.org/tables/90full.html
1990,1990-06-21,Group E,Belgium,Spain,Juan Carlos Loustau,Argentina,Carlos Maciel,Paraguay,Vincent Mauro,United States,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/90full.html
1990,1990-06-21,Group E,South Korea,Uruguay,Tullio Lanese,Italy,Jean-Fidèle Diramba,Gabon,Neji Jouini,Tunisia,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_E; https://www.rsssf.org/tables/90full.html
1990,1990-06-21,Group F,England,Egypt,Kurt Röthlisberger,Switzerland,Berny Ulloa Morera,Costa Rica,Edgardo Codesal,Mexico,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/90full.html
1990,1990-06-21,Group F,Republic of Ireland,Netherlands,Michel Vautrot,France,Richard Lorenc,Australia,Mohamed Hansal,Algeria,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_Group_F; https://www.rsssf.org/tables/90full.html
1990,1990-06-23,Round of 16,Cameroon,Colombia,Tullio Lanese,Italy,Jamal Al Sharif,Syria,Berny Ulloa Morera,Costa Rica,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-23,Round of 16,Czechoslovakia,Costa Rica,Siegfried Kirschen,East Germany,Armando Pérez Hoyos,Colombia,Pietro d'Elia,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-24,Round of 16,Brazil,Argentina,Joël Quiniou,France,Alexey Spirin,Soviet Union,Pierluigi Pairetto,Italy,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-24,Round of 16,West Germany,Netherlands,Juan Carlos Loustau,Argentina,Elías Jácome,Ecuador,Vincent Mauro,United States,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-25,Round of 16,Italy,Uruguay,George Courtney,England,Kurt Röthlisberger,Switzerland,Zoran Petrović,Yugoslavia,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-25,Round of 16,Republic of Ireland,Romania,José Roberto Wright,Brazil,Carlos Maciel,Paraguay,Jassim Mandi,Bahrain,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-26,Round of 16,England,Belgium,Peter Mikkelsen,Denmark,Helmut Kohl,Austria,Shizuo Takada,Japan,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-26,Round of 16,Spain,Yugoslavia,Aron Schmidhuber,West Germany,Alan Snoddy,Northern Ireland,Michał Listkiewicz,Poland,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-30,Quarter-finals,Argentina,Yugoslavia,Kurt Röthlisberger,Switzerland,Neji Jouini,Tunisia,Mohamed Hansal,Algeria,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-06-30,Quarter-finals,Republic of Ireland,Italy,Carlos Silva Valente,Portugal,Armando Pérez Hoyos,Colombia,Berny Ulloa Morera,Costa Rica,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
1990,1990-07-01,Quarter-finals,Cameroon,England,Edgardo Codesal,Mexico,Vincent Mauro,United States,Jassim Mandi,Bahrain,,,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage; https://www.rsssf.org/tables/90full.html
