tournament_year,match_date,stage,home_team,away_team,referee,referee_country,assistant1,assistant1_country,assistant2,assistant2_country,fourth_official,fourth_official_country,var,var_country,avar1,avar2,avar3,source_url
2014,2014-06-12,Group A,Brazil,Croatia,Yuichi Nishimura,Japan,Toru Sagara,Japan,Toshiyuki Nagi,Japan,Alireza Faghani,Iran,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A
2014,2014-06-13,Group A,Mexico,Cameroon,Wilmar Roldán,Colombia,Humberto Clavijo,Colombia,Eduardo Díaz,Colombia,Norbert Hauata,Tahiti,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A
2014,2014-06-13,Group B,Spain,Netherlands,Nicola Rizzoli,Italy,Renato Faverani,Italy,Andrea Stefani,Italy,Svein Oddvar Moen,Norway,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B
2014,2014-06-13,Group B,Chile,Australia,Noumandiez Doué,Ivory Coast,Songuifolo Yeo,Ivory Coast,Jean-Claude Birumushahu,Burundi,Roberto Moreno,Panama,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B
2014,2014-06-14,Group C,Colombia,Greece,Mark Geiger,United States,Mark Hurd,United States,Joe Fletcher,Canada,Alireza Faghani,Iran,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C
2014,2014-06-14,Group C,Ivory Coast,Japan,Enrique Osses,Chile,Carlos Astroza,Chile,Sergio Román,Chile,Néant Alioum,Cameroon,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C
2014,2014-06-14,Group D,Uruguay,Costa Rica,Felix Brych,Germany,Mark Borsch,Germany,Stefan Lupp,Germany,Víctor Hugo Carrillo,Peru,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D
2014,2014-06-14,Group D,England,Italy,Björn Kuipers,Netherlands,Sander van Roekel,Netherlands,Erwin Zeinstra,Netherlands,Walter López,Guatemala,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D
2014,2014-06-15,Group E,Switzerland,Ecuador,Ravshan Irmatov,Uzbekistan,Abdukhamidullo Rasulov,Uzbekistan,Bahadyr Kochkarov,Kyrgyzstan,Svein Oddvar Moen,Norway,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E
2014,2014-06-15,Group E,France,Honduras,Sandro Ricci,Brazil,Emerson de Carvalho,Brazil,Marcelo Van Gasse,Brazil,Peter O'Leary,New Zealand,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E
2014,2014-06-15,Group F,Argentina,Bosnia and Herzegovina,Joel Aguilar,El Salvador,William Torres,El Salvador,Juan Zumba,El Salvador,Djamel Haimoudi,Algeria,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F
2014,2014-06-16,Group F,Iran,Nigeria,Carlos Vera,Ecuador,Christian Lescano,Ecuador,Byron Romero,Ecuador,Wilmar Roldán,Colombia,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F
2014,2014-06-16,Group G,Germany,Portugal,Milorad Mažić,Serbia,Milovan Ristić,Serbia,Dalibor Đurđević,Serbia,Néant Alioum,Cameroon,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G
2014,2014-06-16,Group G,Ghana,United States,Jonas Eriksson,Sweden,Mathias Klasenius,Sweden,Daniel Wärnmark,Sweden,Norbert Hauata,Tahiti,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G
2014,2014-06-17,Group A,Brazil,Mexico,Cüneyt Çakır,Turkey,Bahattin Duran,Turkey,Tarık Ongun,Turkey,Svein Oddvar Moen,Norway,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A
2014,2014-06-17,Group H,Belgium,Algeria,Marco Rodríguez,Mexico,Marvin Torrentera,Mexico,Marcos Quintero,Mexico,Alireza Faghani,Iran,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H
2014,2014-06-17,Group H,Russia,South Korea,Néstor Pitana,Argentina,Hernán Maidana,Argentina,Juan Pablo Belatti,Argentina,Roberto Moreno,Panama,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H
2014,2014-06-18,Group A,Cameroon,Croatia,Pedro Proença,Portugal,Bertino Cunha,Portugal,Tiago Trigo,Portugal,Walter López,Guatemala,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A
2014,2014-06-18,Group B,Australia,Netherlands,Djamel Haimoudi,Algeria,Rédouane Achik,Morocco,Abdelhak Etchiali,Algeria,Bakary Gassama,Gambia,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B
2014,2014-06-18,Group B,Spain,Chile,Mark Geiger,United States,Sean Hurd,United States,Joe Fletcher,Canada,Nawaf Shukralla,Bahrain,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B
2014,2014-06-19,Group C,Colombia,Ivory Coast,Howard Webb,England,Michael Mullarkey,England,Darren Cann,England,Víctor Hugo Carrillo,Peru,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C
2014,2014-06-19,Group C,Japan,Greece,Joel Aguilar,El Salvador,William Torres,El Salvador,Juan Zumba,El Salvador,Norbert Hauata,Tahiti,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C
2014,2014-06-19,Group D,Uruguay,England,Carlos Velasco Carballo,Spain,Roberto Alonso,Spain,Juan Carlos Yuste,Spain,Alireza Faghani,Iran,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D
2014,2014-06-20,Group D,Italy,Costa Rica,Enrique Osses,Chile,Carlos Astroza,Chile,Sergio Román,Chile,Néant Alioum,Cameroon,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D
2014,2014-06-20,Group E,Switzerland,France,Björn Kuipers,Netherlands,Sander van Roekel,Netherlands,Erwin Zeinstra,Netherlands,Svein Oddvar Moen,Norway,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E
2014,2014-06-20,Group E,Honduras,Ecuador,Ben Williams,Australia,Matthew Cream,Australia,Hakan Anaz,Australia,Yuichi Nishimura,Japan,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E
2014,2014-06-21,Group F,Argentina,Iran,Milorad Mažić,Serbia,Milovan Ristić,Serbia,Dalibor Đurđević,Serbia,Norbert Hauata,Tahiti,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F
2014,2014-06-21,Group F,Nigeria,Bosnia and Herzegovina,Peter O'Leary,New Zealand,Jan-Hendrik Hintz,New Zealand,Mark Rule,New Zealand,Roberto Moreno,Panama,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F
2014,2014-06-21,Group G,Germany,Ghana,Sandro Ricci,Brazil,Emerson De Carvalho,Brazil,Marcelo Van Gasse,Brazil,Víctor Hugo Carrillo,Peru,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G
2014,2014-06-22,Group G,United States,Portugal,Néstor Pitana,Argentina,Hernán Maidana,Argentina,Juan Pablo Belatti,Argentina,Wálter López,Guatemala,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G
2014,2014-06-22,Group H,Belgium,Russia,Felix Brych,Germany,Mark Borsch,Germany,Stefan Lupp,Germany,Carlos Vera,Ecuador,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H
2014,2014-06-22,Group H,South Korea,Algeria,Wilmar Roldán,Colombia,Eduardo Díaz,Colombia,Christian Lescano,Ecuador,Alireza Faghani,Iran,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H
2014,2014-06-23,Group A,Cameroon,Brazil,Jonas Eriksson,Sweden,Mathias Klasenius,Sweden,Daniel Wärnmark,Sweden,Svein Oddvar Moen,Norway,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A
2014,2014-06-23,Group A,Croatia,Mexico,Ravshan Irmatov,Uzbekistan,Abdukhamidullo Rasulov,Uzbekistan,Bakhadyr Kochkarov,Kyrgyzstan,Néant Alioum,Cameroon,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A
2014,2014-06-23,Group B,Australia,Spain,Nawaf Shukralla,Bahrain,Yaser Tulefat,Bahrain,Ebrahim Saleh,Bahrain,Norbert Hauata,Tahiti,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B
2014,2014-06-23,Group B,Netherlands,Chile,Bakary Gassama,Gambia,Evarist Menkouande,Cameroon,Felicien Kabanda,Rwanda,Joel Aguilar,El Salvador,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B
2014,2014-06-24,Group C,Japan,Colombia,Pedro Proença,Portugal,Bertino Cunha,Portugal,Tiago Trigo,Portugal,Roberto Moreno,Panama,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C
2014,2014-06-24,Group C,Greece,Ivory Coast,Carlos Vera,Ecuador,Christian Lescano,Ecuador,Byron Romero,Ecuador,Sandro Ricci,Brazil,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C
2014,2014-06-24,Group D,Italy,Uruguay,Marco Rodríguez,Mexico,Marvin Torrentera,Mexico,Marcos Quintero,Mexico,Mark Geiger,United States,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D
2014,2014-06-24,Group D,Costa Rica,England,Djamel Haimoudi,Algeria,Rédouane Achik,Morocco,Abdelhak Etchiali,Algeria,Alireza Faghani,Iran,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D
2014,2014-06-25,Group E,Honduras,Switzerland,Néstor Pitana,Argentina,Hernán Maidana,Argentina,Juan Pablo Belatti,Argentina,Milorad Mažić,Serbia,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E
2014,2014-06-25,Group E,Ecuador,France,Noumandiez Doué,Ivory Coast,Songuifolo Yeo,Ivory Coast,Jean-Claude Birumushahu,Burundi,Björn Kuipers,Netherlands,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E
2014,2014-06-25,Group F,Nigeria,Argentina,Nicola Rizzoli,Italy,Renato Faverani,Italy,Andrea Stefani,Italy,Svein Oddvar Moen,Norway,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F
2014,2014-06-25,Group F,Bosnia and Herzegovina,Iran,Carlos Velasco Carballo,Spain,Roberto Alonso,Spain,Juan Carlos Yuste,Spain,Enrique Osses,Chile,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F
2014,2014-06-26,Group G,United States,Germany,Ravshan Irmatov,Uzbekistan,Abdukhamidullo Rasulov,Uzbekistan,Bakhadyr Kochkarov,Kyrgyzstan,Néant Alioum,Cameroon,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G
2014,2014-06-26,Group G,Portugal,Ghana,Nawaf Shukralla,Bahrain,Yaser Tulerat,Bahrain,Ebrahim Saleh,Bahrain,Wilmar Roldán,Colombia,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G
2014,2014-06-26,Group H,South Korea,Belgium,Ben Williams,Australia,Matthew Cream,Australia,Hakan Anaz,Australia,Víctor Hugo Carrillo,Peru,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H
2014,2014-06-26,Group H,Algeria,Russia,Cüneyt Çakır,Turkey,Bahattin Duran,Turkey,Tarık Ongun,Turkey,Joel Aguilar,El Salvador,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H
2014,2014-06-28,Round of 16,Brazil,Chile,Howard Webb,England,Michael Mullarkey,England,Darren Cann,England,Felix Brych,Germany,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-06-28,Round of 16,Colombia,Uruguay,Björn Kuipers,Netherlands,Sander van Roekel,Netherlands,Erwin Zeinstra,Netherlands,Svein Oddvar Moen,Norway,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-06-29,Round of 16,Netherlands,Mexico,Pedro Proença,Portugal,Bertino Cunha,Portugal,Tiago Trigo,Portugal,Carlos Vera,Ecuador,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-06-29,Round of 16,Costa Rica,Greece,Ben Williams,Australia,Matthew Cream,Australia,Hakan Anaz,Australia,Nawaf Shukralla,Bahrain,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-06-30,Round of 16,France,Nigeria,Mark Geiger,United States,Mark Hurd,United States,Joe Fletcher,Canada,Alireza Faghani,Iran,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-06-30,Round of 16,Germany,Algeria,Sandro Ricci,Brazil,Emerson de Carvalho,Brazil,Marcelo Van Gasse,Brazil,Walter López,Guatemala,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-07-01,Round of 16,Argentina,Switzerland,Jonas Eriksson,Sweden,Mathias Klasenius,Sweden,Daniel Wärnmark,Sweden,Svein Oddvar Moen,Norway,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-07-01,Round of 16,Belgium,United States,Djamel Haimoudi,Algeria,Rédouane Achik,Morocco,Abdelhak Etchiali,Algeria,Norbert Hauata,Tahiti,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-07-04,Quarter-finals,France,Germany,Néstor Pitana,Argentina,Hernán Maidana,Argentina,Juan Pablo Belatti,Argentina,Jonas Eriksson,Sweden,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-07-04,Quarter-finals,Brazil,Colombia,Carlos Velasco Carballo,Spain,Roberto Alonso,Spain,Juan Carlos Yuste,Spain,Svein Oddvar Moen,Norway,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-07-05,Quarter-finals,Argentina,Belgium,Nicola Rizzoli,Italy,Renato Faverani,Italy,Andrea Stefani,Italy,Ben Williams,Australia,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-07-05,Quarter-finals,Netherlands,Costa Rica,Ravshan Irmatov,Uzbekistan,Abdukhamidullo Rasulov,Uzbekistan,Bahadyr Kochkarov,Kyrgyzstan,Noumandiez Doué,Ivory Coast,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-07-08,Semi-finals,Brazil,Germany,Marco Antonio Rodríguez,Mexico,Marvin Torrentera,Mexico,Marcos Quintero,Mexico,Mark Geiger,United States,,,,,,https://en.wikipedia.org/wiki/Brazil_v_Germany_(2014_FIFA_World_Cup)
2014,2014-07-09,Semi-finals,Netherlands,Argentina,Cüneyt Çakır,Turkey,Bahattin Duran,Turkey,Tarık Ongun,Turkey,Jonas Eriksson,Sweden,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-07-12,Third place match,Brazil,Netherlands,Djamel Haimoudi,Algeria,Rédouane Achik,Morocco,Abdelhak Etchiali,Algeria,Yuichi Nishimura,Japan,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_knockout_stage
2014,2014-07-13,Final,Germany,Argentina,Nicola Rizzoli,Italy,Renato Faverani,Italy,Andrea Stefani,Italy,Carlos Vera,Ecuador,,,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final
2018,2018-06-14,Group A,Russia,Saudi Arabia,Néstor Pitana,Argentina,Hernán Maidana,Argentina,Juan Pablo Belatti,Argentina,Sandro Ricci,Brazil,Massimiliano Irrati,Italy,Mauro Vigliano,Carlos Astroza,Daniele Orsato,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_A
2018,2018-06-15,Group A,Egypt,Uruguay,Björn Kuipers,Netherlands,Sander van Roekel,Netherlands,Erwin Zeinstra,Netherlands,Milorad Mažić,Serbia,Danny Makkelie,Netherlands,Paweł Gil,Cyril Gringore,Clément Turpin,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_A
2018,2018-06-15,Group B,Morocco,Iran,Cüneyt Çakır,Turkey,Bahattin Duran,Turkey,Tarık Ongun,Turkey,Sergei Karasev,Russia,Felix Zwayer,Germany,Bastian Dankert,Mark Borsch,Jair Marrufo,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_B
2018,2018-06-15,Group B,Portugal,Spain,Gianluca Rocchi,Italy,Elenito Di Liberatore,Italy,Mauro Tonolini,Italy,Ryuji Sato,Japan,Massimiliano Irrati,Italy,Paolo Valeri,Carlos Astroza,Daniele Orsato,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_B
2018,2018-06-16,Group C,France,Australia,Andrés Cunha,Uruguay,Nicolás Taran,Uruguay,Mauricio Espinosa,Uruguay,Julio Bascuñán,Chile,Mauro Vigliano,Argentina,Tiago Martins,Hernán Maidana,Jair Marrufo,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C
2018,2018-06-16,Group C,Peru,Denmark,Bakary Gassama,Gambia,Jean Claude Birumushahu,Burundi,Abdelhak Etchiali,Algeria,Mehdi Abid Charef,Algeria,Felix Zwayer,Germany,Bastian Dankert,Mark Borsch,Danny Makkelie,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C
2018,2018-06-16,Group D,Argentina,Iceland,Szymon Marciniak,Poland,Paweł Sokolnicki,Poland,Tomasz Listkiewicz,Poland,Wilmar Roldán,Colombia,Mark Geiger,United States,Paweł Gil,Joe Fletcher,Gery Vargas,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D
2018,2018-06-16,Group D,Croatia,Nigeria,Sandro Ricci,Brazil,Emerson de Carvalho,Brazil,Marcelo Van Gasse,Brazil,Antonio Mateu Lahoz,Spain,Daniele Orsato,Italy,Wilton Sampaio,Carlos Astroza,Artur Soares Dias,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D
2018,2018-06-17,Group E,Costa Rica,Serbia,Malang Diedhiou,Senegal,Djibril Camara,Senegal,El Hadji Samba,Senegal,Bamlak Tessema Weyesa,Ethiopia,Clément Turpin,France,Paweł Gil,Cyril Gringore,Artur Soares Dias,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E
2018,2018-06-17,Group E,Brazil,Switzerland,César Arturo Ramos,Mexico,Marvin Torrentera,Mexico,Miguel Hernández,Mexico,John Pitti,Panama,Paolo Valeri,Italy,Mauro Vigliano,Elenito Di Liberatore,Gianluca Rocchi,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E
2018,2018-06-17,Group F,Germany,Mexico,Alireza Faghani,Iran,Reza Sokhandan,Iran,Mohammadreza Mansouri,Iran,Mohammed Abdulla Hassan Mohamed,United Arab Emirates,Massimiliano Irrati,Italy,Wilton Sampaio,Carlos Astroza,Mark Geiger,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F
2018,2018-06-18,Group F,Sweden,South Korea,Joel Aguilar,El Salvador,Juan Zumba,El Salvador,Juan Carlos Mora,Costa Rica,Norbert Hauata,Tahiti,Mauro Vigliano,Argentina,Abdulrahman Al-Jassim,Taleb Al Maari,Daniele Orsato,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F
2018,2018-06-18,Group G,Belgium,Panama,Janny Sikazwe,Zambia,Jerson Dos Santos,Angola,Zakhele Siwela,South Africa,Ryuji Sato,Japan,Bastian Dankert,Germany,Felix Zwayer,Sander van Roekel,Danny Makkelie,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G
2018,2018-06-18,Group G,Tunisia,England,Wilmar Roldán,Colombia,Alexander Guzmán,Colombia,Cristian de la Cruz,Colombia,Ricardo Montero,Costa Rica,Sandro Ricci,Brazil,Gery Vargas,Emerson de Carvalho,Tiago Martins,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G
2018,2018-06-19,Group A,Russia,Egypt,Enrique Cáceres,Paraguay,Eduardo Cardozo,Paraguay,Juan Zorrilla,Paraguay,Cüneyt Çakır,Turkey,Massimiliano Irrati,Italy,Mauro Vigliano,Carlos Astroza,Szymon Marciniak,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_A
2018,2018-06-19,Group H,Colombia,Japan,Damir Skomina,Slovenia,Jure Praprotnik,Slovenia,Robert Vukan,Slovenia,Mehdi Abid Charef,Algeria,Danny Makkelie,Netherlands,Bastian Dankert,Sander van Roekel,Felix Zwayer,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_H
2018,2018-06-19,Group H,Poland,Senegal,Nawaf Shukralla,Bahrain,Yaser Tulefat,Bahrain,Taleb Al Maari,Qatar,Abdulrahman Al-Jassim,Qatar,Artur Soares Dias,Portugal,Tiago Martins,Hernán Maidana,Wilton Sampaio,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_H
2018,2018-06-20,Group A,Uruguay,Saudi Arabia,Clément Turpin,France,Nicolas Danos,France,Cyril Gringore,France,John Pitti,Panama,Szymon Marciniak,Poland,Paweł Gil,Paweł Sokolnicki,Daniele Orsato,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_A
2018,2018-06-20,Group B,Portugal,Morocco,Mark Geiger,United States,Joe Fletcher,Canada,Frank Anderson,United States,Sergei Karasev,Russia,Felix Zwayer,Germany,Jair Marrufo,Simon Lount,Bastian Dankert,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_B
2018,2018-06-20,Group B,Iran,Spain,Andrés Cunha,Uruguay,Nicolás Taran,Uruguay,Mauricio Espinosa,Uruguay,Julio Bascuñán,Chile,Mauro Vigliano,Argentina,Wilton Sampaio,Alexander Guzmán,Massimiliano Irrati,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_B
2018,2018-06-21,Group C,Denmark,Australia,Antonio Mateu Lahoz,Spain,Pau Cebrián Devís,Spain,Roberto Díaz Pérez,Spain,Bamlak Tessema Weyesa,Ethiopia,Mark Geiger,United States,Jair Marrufo,Joe Fletcher,Paolo Valeri,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C
2018,2018-06-21,Group C,France,Peru,Mohammed Abdulla Hassan Mohamed,United Arab Emirates,Mohamed Al Hammadi,United Arab Emirates,Hasan Al Mahri,United Arab Emirates,Janny Sikazwe,Zambia,Daniele Orsato,Italy,Abdulrahman Al-Jassim,Taleb Al Maari,Szymon Marciniak,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C
2018,2018-06-21,Group D,Argentina,Croatia,Ravshan Irmatov,Uzbekistan,Abdukhamidullo Rasulov,Uzbekistan,Jakhongir Saidov,Uzbekistan,Norbert Hauata,Tahiti,Felix Zwayer,Germany,Bastian Dankert,Corey Rockwell,Danny Makkelie,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D
2018,2018-06-22,Group D,Nigeria,Iceland,Matthew Conger,New Zealand,Simon Lount,New Zealand,Tevita Makasini,Tonga,Ricardo Montero,Costa Rica,Massimiliano Irrati,Italy,Paweł Gil,Elenito Di Liberatore,Gianluca Rocchi,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D
2018,2018-06-22,Group E,Brazil,Costa Rica,Björn Kuipers,Netherlands,Sander van Roekel,Netherlands,Erwin Zeinstra,Netherlands,Damir Skomina,Slovenia,Danny Makkelie,Netherlands,Artur Soares Dias,Joe Fletcher,Mark Geiger,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E
2018,2018-06-22,Group E,Serbia,Switzerland,Felix Brych,Germany,Mark Borsch,Germany,Stefan Lupp,Germany,Nawaf Shukralla,Bahrain,Felix Zwayer,Germany,Bastian Dankert,Carlos Astroza,Clément Turpin,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E
2018,2018-06-23,Group F,South Korea,Mexico,Milorad Mažić,Serbia,Milovan Ristić,Serbia,Dalibor Đurđević,Serbia,John Pitti,Panama,Daniele Orsato,Italy,Artur Soares Dias,Carlos Astroza,Tiago Martins,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F
2018,2018-06-23,Group F,Germany,Sweden,Szymon Marciniak,Poland,Paweł Sokolnicki,Poland,Tomasz Listkiewicz,Poland,Ryuji Sato,Japan,Clément Turpin,France,Paweł Gil,Cyril Gringore,Paolo Valeri,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F
2018,2018-06-23,Group G,Belgium,Tunisia,Jair Marrufo,United States,Corey Rockwell,United States,Juan Zumba,El Salvador,Andrés Cunha,Uruguay,Mark Geiger,United States,Bastian Dankert,Joe Fletcher,Felix Zwayer,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G
2018,2018-06-24,Group G,England,Panama,Gehad Grisha,Egypt,Redouane Achik,Morocco,Waleed Ahmed,Sudan,Norbert Hauata,Tahiti,Danny Makkelie,Netherlands,Paweł Gil,Sander van Roekel,Mark Geiger,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G
