tournament_year,official_name,country,confederation,role_pool,source_url
2014,Ben Williams,Australia,AFC,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Nawaf Shukralla,Bahrain,AFC,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Ravshan Irmatov,Uzbekistan,AFC,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Yuichi Nishimura,Japan,AFC,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Bakary Gassama,Gambia,CAF,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Djamel Haimoudi,Algeria,CAF,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Noumandiez Doué,Ivory Coast,CAF,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Joel Aguilar,El Salvador,CONCACAF,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Marco Rodríguez,Mexico,CONCACAF,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Mark Geiger,United States,CONCACAF,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Carlos Vera,Ecuador,CONMEBOL,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Enrique Osses,Chile,CONMEBOL,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Néstor Pitana,Argentina,CONMEBOL,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Sandro Ricci,Brazil,CONMEBOL,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Wilmar Roldán,Colombia,CONMEBOL,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Peter O'Leary,New Zealand,OFC,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Björn Kuipers,Netherlands,UEFA,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Carlos Velasco Carballo,Spain,UEFA,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Cüneyt Çakır,Turkey,UEFA,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Felix Brych,Germany,UEFA,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Howard Webb,England,UEFA,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Jonas Eriksson,Sweden,UEFA,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Milorad Mažić,Serbia,UEFA,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Nicola Rizzoli,Italy,UEFA,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Pedro Proença,Portugal,UEFA,referee,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Abdukhamidullo Rasulov,Uzbekistan,AFC,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Bahadyr Kochkarov,Kyrgyzstan,AFC,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Ebrahim Saleh,Bahrain,AFC,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Hakan Anaz,Australia,AFC,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Matthew Cream,Australia,AFC,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Toru Sagara,Japan,AFC,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Toshiyuki Nagi,Japan,AFC,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Yaser Tulefat,Bahrain,AFC,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Abdelhak Etchiali,Algeria,CAF,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Evarist Menkouande,Cameroon,CAF,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Félicien Kabanda,Rwanda,CAF,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Jean-Claude Birumushahu,Burundi,CAF,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Redouane Achik,Morocco,CAF,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Songuifolo Yeo,Ivory Coast,CAF,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Joe Fletcher,Canada,CONCACAF,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Juan Zumba,El Salvador,CONCACAF,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Marcos Quintero,Mexico,CONCACAF,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Mark Hurd,United States,CONCACAF,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Marvin Torrentera,Mexico,CONCACAF,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,William Torres,El Salvador,CONCACAF,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Byron Romero,Ecuador,CONMEBOL,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Carlos Astroza,Chile,CONMEBOL,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Christian Lescano,Ecuador,CONMEBOL,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Eduardo Díaz,Colombia,CONMEBOL,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Emerson de Carvalho,Brazil,CONMEBOL,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Hernán Maidana,Argentina,CONMEBOL,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Humberto Clavijo,Colombia,CONMEBOL,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Juan Pablo Belatti,Argentina,CONMEBOL,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Marcelo Van Gasse,Brazil,CONMEBOL,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Sergio Román,Chile,CONMEBOL,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Jan Hendrik Hintz,New Zealand,OFC,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Mark Rule,New Zealand,OFC,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Ravinesh Kumar,Fiji,OFC,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Andrea Stefani,Italy,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Bahattin Duran,Turkey,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Bertino Miranda,Portugal,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Dalibor Đurđević,Serbia,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Daniel Wärnmark,Sweden,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Darren Cann,England,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Erwin Zeinstra,Netherlands,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Juan Carlos Yuste Jiménez,Spain,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Mark Borsch,Germany,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Mathias Klasenius,Sweden,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Michael Mullarkey,England,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Milovan Ristić,Serbia,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Renato Faverani,Italy,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Roberto Alonso Fernández,Spain,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Sander van Roekel,Netherlands,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Stefan Lupp,Germany,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Tarık Ongun,Turkey,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Tiago Trigo,Portugal,UEFA,assistant,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Alireza Faghani,Iran,AFC,fourth,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Daniel Bennett,South Africa,CAF,fourth,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Néant Alioum,Cameroon,CAF,fourth,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Roberto Moreno,Panama,CONCACAF,fourth,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Walter López,Guatemala,CONCACAF,fourth,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Víctor Hugo Carrillo,Peru,CONMEBOL,fourth,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Norbert Hauata,Tahiti,OFC,fourth,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Svein Oddvar Moen,Norway,UEFA,fourth,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Hassan Kamranifar,Iran,AFC,support,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Aden Marwa,Kenya,CAF,support,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Djibril Camara,Senegal,CAF,support,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Eric Boria,United States,CONCACAF,support,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Leonel Leal,Costa Rica,CONCACAF,support,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Rodney Aquino,Paraguay,CONMEBOL,support,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2014,Kim Haglund,Norway,UEFA,support,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_officials
2018,Abdulrahman Al-Jassim,Qatar,AFC,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Alireza Faghani,Iran,AFC,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Fahad Al-Mirdasi,Saudi Arabia,AFC,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Mohammed Abdulla Hassan Mohamed,United Arab Emirates,AFC,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Nawaf Shukralla,Bahrain,AFC,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Ravshan Irmatov,Uzbekistan,AFC,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Ryuji Sato,Japan,AFC,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Bakary Gassama,Gambia,CAF,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Bamlak Tessema Weyesa,Ethiopia,CAF,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Gehad Grisha,Egypt,CAF,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Janny Sikazwe,Zambia,CAF,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Malang Diedhiou,Senegal,CAF,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Mehdi Abid Charef,Algeria,CAF,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,César Arturo Ramos,Mexico,CONCACAF,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Jair Marrufo,United States,CONCACAF,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Joel Aguilar,El Salvador,CONCACAF,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,John Pitti,Panama,CONCACAF,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Mark Geiger,United States,CONCACAF,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Ricardo Montero,Costa Rica,CONCACAF,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Andrés Cunha,Uruguay,CONMEBOL,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Enrique Cáceres,Paraguay,CONMEBOL,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Julio Bascuñán,Chile,CONMEBOL,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Néstor Pitana,Argentina,CONMEBOL,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Sandro Ricci,Brazil,CONMEBOL,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Wilmar Roldán,Colombia,CONMEBOL,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Matthew Conger,New Zealand,OFC,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Norbert Hauata,Tahiti,OFC,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Antonio Mateu Lahoz,Spain,UEFA,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Björn Kuipers,Netherlands,UEFA,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Clément Turpin,France,UEFA,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Cüneyt Çakır,Turkey,UEFA,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Damir Skomina,Slovenia,UEFA,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Felix Brych,Germany,UEFA,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Gianluca Rocchi,Italy,UEFA,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Milorad Mažić,Serbia,UEFA,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Sergei Karasev,Russia,UEFA,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Szymon Marciniak,Poland,UEFA,referee,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Abdukhamidullo Rasulov,Uzbekistan,AFC,assistant,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Abdullah Al-Shalwai,Saudi Arabia,AFC,assistant,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Hasan Al Mahri,United Arab Emirates,AFC,assistant,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Hiroshi Yamauchi,Japan,AFC,assistant,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Jakhongir Saidov,Uzbekistan,AFC,assistant,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Mohamed Al Hammadi,United Arab Emirates,AFC,assistant,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Mohammadreza Mansouri,Iran,AFC,assistant,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Mohammed Al-Abakry,Saudi Arabia,AFC,assistant,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Reza Sokhandan,Iran,AFC,assistant,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Taleb Al Maari,Qatar,AFC,assistant,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
2018,Toru Sagara,Japan,AFC,assistant,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_officials
