tournament_year,team,pot,seeded,source_url
1990,Italy,1,yes,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Argentina,1,yes,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Brazil,1,yes,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,West Germany,1,yes,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Belgium,1,yes,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,England,1,yes,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Cameroon,2,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Costa Rica,2,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Egypt,2,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,South Korea,2,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,United Arab Emirates,2,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,United States,2,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Colombia,3,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Czechoslovakia,3,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Republic of Ireland,3,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Romania,3,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Sweden,3,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Uruguay,3,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Austria,4,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Netherlands,4,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Scotland,4,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Spain,4,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Soviet Union,4,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1990,Yugoslavia,4,no,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup
1994,United States,1,yes,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Germany,1,yes,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Argentina,1,yes,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Italy,1,yes,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Brazil,1,yes,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Belgium,1,yes,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Mexico,2,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Cameroon,2,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Morocco,2,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Colombia,2,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Nigeria,2,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Bolivia,2,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Spain,3,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Russia,3,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Republic of Ireland,3,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Romania,3,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Netherlands,3,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Bulgaria,3,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,South Korea,4,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Sweden,4,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Greece,4,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Norway,4,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Switzerland,4,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Saudi Arabia,4,no,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1998,Brazil,1,yes,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
