stage,group_name,match_date,home_team,away_team,home_score,away_score,extra_time,penalty_shootout,score_penalties,referee_name,referee_country,source_url
Group stage,A,2026-06-11,Mexico,South Africa,2,0,no,no,,Wilton Sampaio,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
Group stage,A,2026-06-11,South Korea,Czech Republic,2,1,no,no,,Amin Omar,Egypt,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A
Group stage,B,2026-06-12,Canada,Bosnia and Herzegovina,1,1,no,no,,Facundo Tello,Argentina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
Group stage,D,2026-06-12,United States,Paraguay,4,1,no,no,,Danny Makkelie,Netherlands,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
Group stage,B,2026-06-13,Qatar,Switzerland,1,1,no,no,,Saíd Martínez,Honduras,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B
Group stage,C,2026-06-13,Brazil,Morocco,1,1,no,no,,Slavko Vinčić,Slovenia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
Group stage,C,2026-06-13,Haiti,Scotland,0,1,no,no,,Mustapha Ghorbal,Algeria,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C
Group stage,D,2026-06-13,Australia,Turkey,2,0,no,no,,Jesús Valenzuela,Venezuela,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_D
Group stage,E,2026-06-14,Germany,Curaçao,7,1,no,no,,Jalal Jayed,Morocco,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
Group stage,E,2026-06-14,Ivory Coast,Ecuador,1,0,no,no,,François Letexier,France,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_E
Group stage,F,2026-06-14,Netherlands,Japan,2,2,no,no,,Ismail Elfath,United States,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
Group stage,F,2026-06-14,Sweden,Tunisia,5,1,no,no,,Yael Falcón,Argentina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F
Group stage,G,2026-06-15,Belgium,Egypt,1,1,no,no,,Ramon Abatti,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
Group stage,G,2026-06-15,Iran,New Zealand,2,2,no,no,,César Arturo Ramos,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G
