team,matches_played,wins,draws,losses,goals_for,goals_against,yellow_cards,red_cards,fouls_committed,fouls_drawn,penalties_won,penalties_conceded,source_url
Algeria,4,1,1,2,5,9,3,0,29,40,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Argentina,7,7,0,0,19,7,3,0,59,54,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Australia,4,1,2,1,3,3,5,0,46,38,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Austria,4,1,1,2,6,9,5,0,47,28,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Belgium,6,3,2,1,14,7,4,1,60,56,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Bosnia and Herzegovina,4,1,1,2,5,8,7,1,60,38,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Brazil,5,3,1,1,10,4,8,0,51,53,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Canada,5,2,1,2,9,6,11,0,72,73,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Cape Verde,4,0,3,1,4,5,5,0,27,47,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Colombia,5,3,2,0,5,1,8,0,70,64,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Croatia,4,2,0,2,6,7,4,0,45,47,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Curaçao,3,0,1,2,1,9,7,0,32,31,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Czech Republic,3,0,1,2,2,6,1,0,37,31,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
DR Congo,4,1,1,2,5,5,6,0,44,45,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Ecuador,4,1,1,2,2,4,8,1,49,38,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
Egypt,5,1,3,1,8,7,12,0,59,67,,,https://web.archive.org/web/20260708125036/https://fbref.com/en/comps/1/2026/misc/2026-FIFA-World-Cup-Stats
